n,positive_rate,accuracy,macro_f1,precision,recall,degradation_f1,brier,roc_auc,pr_auc,feature_set,fold,model
696,0.2514367816091954,0.8936781609195402,0.8548430735930737,0.8136645962732919,0.7485714285714286,0.7797619047619048,0.09547305417704587,0.9035810255004114,0.7977995724671161,full,1,extra_trees
706,0.1048158640226629,0.9702549575070821,0.9294225175777252,0.7789473684210526,1.0,0.8757396449704142,0.0390015947309653,0.9889454327745468,0.8923761842602591,full,2,extra_trees
697,0.23385939741750358,0.9253945480631277,0.89720463776008,0.8284023668639053,0.8588957055214724,0.8433734939759037,0.07644869374431978,0.9149491050297558,0.8380721517936723,full,3,extra_trees
697,0.46771879483500717,0.8436154949784792,0.8433252424681744,0.8181818181818182,0.8558282208588958,0.8365817091454273,0.1359379134255868,0.8700577117060505,0.7951728436243363,full,4,extra_trees
698,0.4383954154727794,0.8667621776504298,0.86512077294686,0.8380952380952381,0.8627450980392157,0.8502415458937198,0.10945032302844326,0.9046827064158998,0.8385665316754662,full,5,extra_trees
696,0.2514367816091954,0.8879310344827587,0.853875968992248,0.7621621621621621,0.8057142857142857,0.7833333333333333,0.10082034786221526,0.9052975047984645,0.7732531183970686,no_soc,1,extra_trees
706,0.1048158640226629,0.9716713881019831,0.9324376052671872,0.7872340425531915,1.0,0.8809523809523809,0.04831821497747603,0.9925590147109135,0.9345543000095085,no_soc,2,extra_trees
697,0.23385939741750358,0.9024390243902439,0.8697940704599899,0.7567567567567568,0.8588957055214724,0.8045977011494253,0.08116360631778043,0.9044426828427654,0.8091108484419594,no_soc,3,extra_trees
697,0.46771879483500717,0.8464849354375896,0.8462367919179423,0.8192419825072886,0.8619631901840491,0.8400597907324364,0.13668048224952223,0.8512807368577713,0.7650764179314531,no_soc,4,extra_trees
698,0.4383954154727794,0.8452722063037249,0.8427731197597297,0.8256578947368421,0.8202614379084967,0.8229508196721311,0.11721724964555198,0.9018232292917165,0.8421764185373579,no_soc,5,extra_trees
696,0.2514367816091954,0.8548850574712644,0.788961107191642,0.7803030303030303,0.5885714285714285,0.6710097719869706,0.08971115517370257,0.9212887304633945,0.8353121501827571,no_graph,1,extra_trees
706,0.1048158640226629,0.9688385269121813,0.9224640575079872,0.8023255813953488,0.9324324324324325,0.8625,0.039465599832811254,0.9837281902155319,0.8792291558679601,no_graph,2,extra_trees
697,0.23385939741750358,0.9139167862266858,0.8808954203691046,0.8083832335329342,0.8282208588957055,0.8181818181818182,0.07843501085463142,0.91221479285862,0.7950994667508375,no_graph,3,extra_trees
697,0.46771879483500717,0.8206599713055954,0.8194947718227454,0.819047619047619,0.7914110429447853,0.8049921996879875,0.129034781739033,0.8954409405850545,0.8817318933600332,no_graph,4,extra_trees
698,0.4383954154727794,0.8997134670487106,0.8990637679003777,0.8511904761904762,0.934640522875817,0.8909657320872274,0.08385700806664287,0.9360327464319061,0.9012111231962157,no_graph,5,extra_trees
696,0.2514367816091954,0.8908045977011494,0.8538445385116988,0.7894736842105263,0.7714285714285715,0.7803468208092486,0.09527786446161825,0.9062681656155743,0.8011039254573472,no_progress,1,extra_trees
706,0.1048158640226629,0.9688385269121813,0.9264374348773325,0.7708333333333334,1.0,0.8705882352941177,0.03860720800824479,0.9851394115634622,0.8281134961214678,no_progress,2,extra_trees
697,0.23385939741750358,0.9239598278335724,0.8950101320722006,0.8273809523809523,0.852760736196319,0.8398791540785498,0.07572995295386249,0.9141563842742584,0.8317915441441897,no_progress,3,extra_trees
697,0.46771879483500717,0.8507890961262554,0.8505968869542277,0.8208092485549133,0.8711656441717791,0.8452380952380952,0.13434746982867535,0.8692102260512956,0.7962842782135583,no_progress,4,extra_trees
698,0.4383954154727794,0.8896848137535817,0.8889442200204565,0.8417910447761194,0.9215686274509803,0.8798751950078003,0.10841259765034147,0.9068960917700414,0.8171693516191396,no_progress,5,extra_trees
696,0.2514367816091954,0.8908045977011494,0.8471355250381467,0.8322147651006712,0.7085714285714285,0.7654320987654321,0.09541737457655741,0.9068165615574446,0.8228861405057099,no_cmd_mismatch,1,extra_trees
706,0.1048158640226629,0.9716713881019831,0.9324376052671872,0.7872340425531915,1.0,0.8809523809523809,0.039228469232127625,0.9898648648648649,0.9031140747975994,no_cmd_mismatch,2,extra_trees
697,0.23385939741750358,0.9225251076040172,0.8932509699816213,0.8224852071005917,0.852760736196319,0.8373493975903614,0.07501932438676204,0.9212736380138326,0.8595487431502167,no_cmd_mismatch,3,extra_trees
697,0.46771879483500717,0.8393113342898135,0.8389503218352863,0.8165680473372781,0.8466257668711656,0.8313253012048193,0.1393678920007007,0.8676310088799961,0.8147267373436698,no_cmd_mismatch,4,extra_trees
698,0.4383954154727794,0.8911174785100286,0.8904120908632671,0.8422619047619048,0.9248366013071896,0.881619937694704,0.10775379951543711,0.9142490329465119,0.8629403357339182,no_cmd_mismatch,5,extra_trees
696,0.2514367816091954,0.757183908045977,0.5867143113134954,0.5405405405405406,0.22857142857142856,0.321285140562249,0.16599222331982355,0.7458294488620785,0.518461054632325,soc_only,1,extra_trees
706,0.1048158640226629,0.8696883852691218,0.7274771750805585,0.4262295081967213,0.7027027027027027,0.5306122448979592,0.0917860358914877,0.8946288060212111,0.47123972235649036,soc_only,2,extra_trees
697,0.23385939741750358,0.787661406025825,0.5883376432653322,0.6530612244897959,0.19631901840490798,0.3018867924528302,0.14324009096087018,0.8108901449874772,0.5453530094973057,soc_only,3,extra_trees
697,0.46771879483500717,0.6398852223816356,0.6129088644173177,0.7005347593582888,0.401840490797546,0.5107212475633528,0.21328035733980483,0.7758627817373043,0.7370327480520589,soc_only,4,extra_trees
698,0.4383954154727794,0.8638968481375359,0.8586077414980202,0.9105058365758755,0.7647058823529411,0.8312611012433393,0.12780688308392651,0.9262496665332799,0.9054617088896291,soc_only,5,extra_trees
696,0.2514367816091954,0.8247126436781609,0.7992206416464891,0.5970695970695971,0.9314285714285714,0.7276785714285714,0.13093167900697722,0.8975157663833288,0.7628882274366365,motion_only,1,extra_trees
706,0.1048158640226629,0.953257790368272,0.8902130426792202,0.711340206185567,0.9324324324324325,0.8070175438596491,0.05366932743474,0.9680443893260349,0.852666469632036,motion_only,2,extra_trees
697,0.23385939741750358,0.8737446197991392,0.835224586288416,0.6903553299492385,0.8343558282208589,0.7555555555555555,0.09343581002438857,0.8928161117621378,0.7813125413395811,motion_only,3,extra_trees
697,0.46771879483500717,0.7977044476327116,0.797502704373358,0.7650429799426934,0.8190184049079755,0.7911111111111111,0.15848735985252507,0.8421857688555224,0.8131655549217289,motion_only,4,extra_trees
698,0.4383954154727794,0.8853868194842407,0.8847471620227039,0.8323529411764706,0.9248366013071896,0.8761609907120743,0.10864835484801612,0.890064359076964,0.8387552880968379,motion_only,5,extra_trees
696,0.2514367816091954,0.8850574712643678,0.8501291989664083,0.7567567567567568,0.8,0.7777777777777778,0.11170280929838526,0.8868001096791884,0.7122875364869389,motion_graph,1,extra_trees
706,0.1048158640226629,0.9688385269121813,0.9264374348773325,0.7708333333333334,1.0,0.8705882352941177,0.05602287331368251,0.9896189702360588,0.9027329714952406,motion_graph,2,extra_trees
697,0.23385939741750358,0.9010043041606887,0.8681317777381719,0.7526881720430108,0.8588957055214724,0.8022922636103151,0.08306620854103022,0.8950276877829094,0.8184738052332106,motion_graph,3,extra_trees
