n,positive_rate,accuracy,macro_f1,precision,recall,degradation_f1,brier,roc_auc,pr_auc,horizon_s,model,fold,protocol,feature_set
716,0.18156424581005587,0.8994413407821229,0.8122049309319812,0.7959183673469388,0.6,0.6842105263157895,0.0947018999836379,0.9208453662378577,0.6792232167248048,0,logistic,1,grouped_low_soc_cv,full
717,0.16457461645746166,0.9665271966527197,0.9391358478820633,0.8983050847457628,0.8983050847457628,0.8983050847457628,0.02263572896255023,0.994637955915226,0.9723968243434047,0,logistic,2,grouped_low_soc_cv,full
725,0.20275862068965517,0.9324137931034483,0.9048925774713874,0.7606382978723404,0.9727891156462585,0.8537313432835821,0.05818694330806629,0.9675164183320387,0.8838871285920891,0,logistic,3,grouped_low_soc_cv,full
713,0.4670406732117812,0.8835904628330996,0.8824575097970282,0.9032258064516129,0.8408408408408409,0.8709175738724728,0.06655572409219936,0.9600442547810968,0.9242241872659647,0,logistic,4,grouped_low_soc_cv,full
713,0.43478260869565216,0.8597475455820477,0.853869486801115,0.9038461538461539,0.7580645161290323,0.8245614035087719,0.09648341175180235,0.95953734091091,0.9176231984469148,0,logistic,5,grouped_low_soc_cv,full
389,0.005141388174807198,0.9897172236503856,0.4974160206718346,0.0,0.0,0.0,0.010355159468546841,0.8410852713178295,0.023689516129032258,0,logistic,0,untouched_high_soc_control,full
716,0.18156424581005587,0.8980446927374302,0.810270539081699,0.7878787878787878,0.6,0.6812227074235808,0.07351228093328568,0.9403255447624048,0.7071408939684829,0,extra_trees,1,grouped_low_soc_cv,full
717,0.16457461645746166,0.9735006973500697,0.9538305119211021,0.8778625954198473,0.9745762711864406,0.9236947791164659,0.028392424088404436,0.9849042188958999,0.8740367264931811,0,extra_trees,2,grouped_low_soc_cv,full
725,0.20275862068965517,0.9448275862068966,0.9201577023038632,0.8057142857142857,0.9591836734693877,0.8757763975155279,0.051606814321112,0.9706000047077654,0.8923587429903285,0,extra_trees,3,grouped_low_soc_cv,full
713,0.4670406732117812,0.94109396914446,0.9410428249673182,0.9052924791086351,0.975975975975976,0.9393063583815029,0.07090801167986018,0.9523865971234392,0.9137799220061494,0,extra_trees,4,grouped_low_soc_cv,full
713,0.43478260869565216,0.9256661991584852,0.924516354556804,0.9079365079365079,0.9225806451612903,0.9152,0.07329060805794572,0.9618986632514208,0.9291249452521041,0,extra_trees,5,grouped_low_soc_cv,full
389,0.005141388174807198,0.9948586118251928,0.49871134020618557,0.0,0.0,0.0,0.01820963038852088,0.9883720930232558,0.24285714285714285,0,extra_trees,0,untouched_high_soc_control,full
716,0.18156424581005587,0.8170391061452514,0.5150932373818053,0.47619047619047616,0.07692307692307693,0.13245033112582782,0.0911389433955225,0.9288658440535574,0.6497650475572959,0,random_forest,1,grouped_low_soc_cv,full
717,0.16457461645746166,0.9776847977684798,0.961485778744662,0.8805970149253731,1.0,0.9365079365079365,0.026326808745852637,0.9875781670014997,0.8752443901581783,0,random_forest,2,grouped_low_soc_cv,full
725,0.20275862068965517,0.9696551724137931,0.9542171856342427,0.8980891719745223,0.9591836734693877,0.9276315789473685,0.03684996114057481,0.9717769460725465,0.8981465269235682,0,random_forest,3,grouped_low_soc_cv,full
713,0.4670406732117812,0.8906030855539971,0.8893790875674299,0.9180327868852459,0.8408408408408409,0.877742946708464,0.07702592104264269,0.9624189979453137,0.9399936581005872,0,random_forest,4,grouped_low_soc_cv,full
713,0.43478260869565216,0.9565217391304348,0.9559951023821138,0.9292307692307692,0.9741935483870968,0.9511811023622048,0.0609475394427162,0.9701032578243818,0.9385409852523685,0,random_forest,5,grouped_low_soc_cv,full
389,0.005141388174807198,0.9948586118251928,0.49871134020618557,0.0,0.0,0.0,0.01374882428196651,0.9948320413436692,0.41666666666666663,0,random_forest,0,untouched_high_soc_control,full
