edge_id,rows,mean_speed_mps,stop_share,min_soc,mean_soc,low_soc_20_share,mean_power_W,edge_distance_m
20->21,76,0.25865778630893477,0.0,17.0,30.486842105263158,0.40789473684210525,264.0394736842105,0.9051191342756462
25->26,412,0.15551725149299334,0.47572815533980584,2.0,36.36165048543689,0.25728155339805825,239.20145631067962,6.36154069388855
21->14,41,0.2676331931497993,0.07317073170731707,17.0,38.58536585365854,0.14634146341463414,256.6829268292683,4.371144015014833
12->11,60,0.12363530198733011,0.5833333333333334,16.0,41.86666666666667,0.1,233.38333333333333,0.6000833275471014
11->13,61,0.1966365540369612,0.0,15.0,53.68852459016394,0.09836065573770492,279.9672131147541,0.3397057550292605
17->19,228,0.14320368525621135,0.5,10.0,53.30263157894737,0.07894736842105263,249.5,0.5200961449578333
19->22,217,0.23962545600904295,0.04608294930875576,9.0,53.68663594470046,0.05069124423963134,273.6543778801843,4.36573649271806
3->8,85,0.18813249797505488,0.3411764705882353,11.0,53.38823529411765,0.047058823529411764,256.38823529411764,1.5105297084135754
8->3,247,0.115539643046284,0.5182186234817814,11.0,48.08502024291498,0.04048582995951417,240.8502024291498,1.5105297084135754
23->20,223,0.22097628780811887,0.13004484304932734,18.0,57.63677130044843,0.04035874439461883,268.8385650224215,3.1761535260785037
14->12,100,0.023900319933891297,0.92,17.0,45.9,0.04,218.11,0.6603029607687673
2->11,131,0.26721822623988145,0.0,15.0,55.16030534351145,0.03816793893129771,277.7328244274809,3.5209089735464616
23->25,433,0.17175437556472162,0.3140877598152425,6.0,49.866050808314085,0.03695150115473441,256.25635103926095,0.9280086206496132
25->23,249,0.1773351731908369,0.2931726907630522,18.0,52.00401606425703,0.03614457831325301,260.0281124497992,0.9280086206496132
11->2,491,0.12505039307165533,0.5336048879837068,15.0,52.342158859470466,0.032586558044806514,245.34419551934826,3.5209089735464616
26->25,546,0.11767804308797848,0.5402930402930403,18.0,48.5970695970696,0.027472527472527472,241.7069597069597,6.36154069388855
22->20,431,0.11052535042996471,0.5243619489559165,8.0,53.60556844547564,0.025522041763341066,246.8538283062645,0.9209777413162596
20->23,364,0.13596621008364707,0.46703296703296704,7.0,47.832417582417584,0.024725274725274724,242.28021978021977,3.2036175060200827
10->17,107,0.029473532861638285,0.8598130841121495,10.0,36.89719626168224,0.018691588785046728,209.02803738317758,0.4242011276387832
8->10,112,0.01209039786564452,0.9375,10.0,26.8125,0.017857142857142856,204.44642857142858,0.3255764119219931
9->8,110,0.029682991992343553,0.9,31.0,46.91818181818182,0.0,209.3272727272727,0.4701063709417261
13->12,54,0.02383950021531846,0.8888888888888888,41.0,46.166666666666664,0.0,219.1851851851852,0.4243819034784601
10->7,115,0.05444317330484804,0.8173913043478261,26.0,36.52173913043478,0.0,219.62608695652173,0.4801041553663125
18->17,135,0.03872303775063267,0.7703703703703704,40.0,57.762962962962966,0.0,231.71851851851852,0.3546829570193636
32->30,104,0.07714900431724694,0.7403846153846154,42.0,47.11538461538461,0.0,228.56730769230768,0.7402702209328699
29->5,326,0.0665697200120958,0.696319018404908,28.0,53.95705521472393,0.0,239.07361963190183,1.2717328465068
10->8,199,0.06514331690929642,0.6934673366834171,48.0,56.25125628140704,0.0,237.52261306532662,0.3255764119219931
7->10,42,0.09870849549770355,0.6666666666666666,35.0,57.92857142857143,0.0,240.28571428571428,0.4801041553663125
19->18,149,0.0775927668249847,0.6308724832214765,48.0,68.77852348993288,0.0,247.16107382550337,0.346554469023269
26->28,44,0.10758392648263411,0.6136363636363636,33.0,55.34090909090909,0.0,238.38636363636363,0.740607858451421
33->6,244,0.0919630673910075,0.5737704918032787,21.0,53.51639344262295,0.0,245.31147540983608,1.2208966715349987
16->19,39,0.13010338254463977,0.5641025641025641,49.0,50.282051282051285,0.0,237.53846153846155,0.5220644083812814
34->33,288,0.08656935211426267,0.5590277777777778,21.0,49.107638888888886,0.0,240.44097222222223,0.5456189146281497
9->13,96,0.08893133831831314,0.5104166666666666,41.0,54.645833333333336,0.0,243.14583333333334,0.6603029607687673
9->7,202,0.12454603173502599,0.504950495049505,47.0,62.851485148514854,0.0,254.15346534653466,0.346554469023269
31->27,14,0.06888829969934052,0.5,43.0,45.57142857142857,0.0,233.78571428571428,0.6600757532283702
33->35,44,0.07983468269759957,0.4772727272727273,43.0,49.43181818181818,0.0,248.95454545454547,0.4800000000000004
7->1,428,0.1346128979767455,0.4742990654205608,26.0,53.231308411214954,0.0,249.35046728971963,3.510911562543264
13->11,177,0.14747310817073292,0.423728813559322,48.0,57.271186440677965,0.0,255.38983050847457,0.5543110144820138
18->4,187,0.1410815147633221,0.3689839572192513,24.0,54.839572192513366,0.0,254.97860962566844,1.4703060905811411
18->19,41,0.17530581209717724,0.36585365853658536,24.0,58.51219512195122,0.0,257.8292682926829,0.346554469023269
20->22,329,0.15149361300522793,0.3495440729483283,26.0,60.6048632218845,0.0,263.0243161094225,0.9209777413162596
35->32,23,0.09914229000392165,0.34782608695652173,43.0,45.04347826086956,0.0,247.91304347826087,1.4200352108310552
27->31,16,0.10864265356212852,0.3125,43.0,45.375,0.0,242.25,0.6600757532283702
35->34,20,0.16548993363976477,0.3,47.0,51.9,0.0,267.15,0.5456189146281497
33->34,38,0.16788574112089055,0.2894736842105263,21.0,55.3421052631579,0.0,268.05263157894734,0.5456189146281497
1->7,165,0.22295053348396765,0.24242424242424243,26.0,56.60606060606061,0.0,266.7939393939394,3.510911562543264
30->24,46,0.16500901584715946,0.2391304347826087,42.0,44.65217391304348,0.0,255.3913043478261,6.371538275801221
15->14,33,0.1657735513466777,0.18181818181818182,39.0,41.81818181818182,0.0,255.36363636363637,0.3606937759374298
31->32,13,0.11568259677061664,0.15384615384615385,43.0,44.84615384615385,0.0,257.15384615384613,0.4382921400162226
14->21,45,0.2264201040069262,0.1111111111111111,39.0,44.111111111111114,0.0,260.9111111111111,4.371144015014833
21->20,31,0.23869030994753684,0.0967741935483871,39.0,41.38709677419355,0.0,263.38709677419354,1.1300442469213317
28->29,66,0.19577238911932163,0.07575757575757576,21.0,59.09090909090909,0.0,282.22727272727275,0.5819143089945068
22->19,145,0.2665031902748962,0.034482758620689655,26.0,59.703448275862065,0.0,278.9103448275862,5.032395056034451
29->26,210,0.28702951620022454,0.0,20.0,55.147619047619045,0.0,281.04761904761904,0.6646414038909502
6->33,85,0.21607034276513487,0.0,21.0,53.36470588235294,0.0,273.0352941176471,1.3053491579878107
4->18,78,0.23529219321715522,0.0,24.0,54.756410256410255,0.0,276.47435897435895,1.4703060905811411
5->29,78,0.23132156590238592,0.0,28.0,56.43589743589744,0.0,278.7564102564103,1.274154514319335
28->34,41,0.26549570771252234,0.0,22.0,55.0,0.0,278.0,0.6100819617067859
34->28,39,0.2611339825850266,0.0,21.0,55.205128205128204,0.0,276.4871794871795,0.6100819617067859
13->9,34,0.20235167706713952,0.0,31.0,56.35294117647059,0.0,276.38235294117646,0.6603029607687673
8->9,31,0.2983594527167658,0.0,41.0,60.32258064516129,0.0,283.83870967741933,0.4701063709417261
17->10,30,0.18228000129262603,0.0,26.0,59.43333333333333,0.0,277.3666666666667,0.403020300564426
24->23,28,0.2703417534274714,0.0,42.0,43.75,0.0,269.39285714285717,0.8964373932405982
26->27,23,0.29877712026886316,0.0,22.0,56.0,0.0,282.3478260869565,0.4272001872658766
27->28,17,0.29834734516985273,0.0,22.0,53.05882352941177,0.0,277.5882352941176,0.4294182110716775
12->15,15,0.10400198561449843,0.0,41.0,43.733333333333334,0.0,250.46666666666667,0.4614108798023719
28->26,11,0.2987249927087263,0.0,37.0,37.0,0.0,270.90909090909093,0.740607858451421
15->12,9,0.14875659015443587,0.0,42.0,46.22222222222222,0.0,262.1111111111111,0.5789593612344597
32->31,9,0.2318560845322079,0.0,43.0,46.111111111111114,0.0,260.8888888888889,0.4382921400162226
12->14,8,0.295456975698471,0.0,46.0,46.0,0.0,274.125,0.6603029607687673
14->15,8,0.12044816231355071,0.0,42.0,45.75,0.0,262.25,0.5930969631301175
17->18,8,0.1865484286099672,0.0,24.0,28.5,0.0,264.25,0.3546829570193636
16->15,6,0.1163534596562385,0.0,40.0,42.5,0.0,251.0,0.6603029607687673
17->16,6,0.19158260772625602,0.0,40.0,42.166666666666664,0.0,265.8333333333333,0.5902378867896847
7->8,6,0.2958114743232727,0.0,27.0,47.0,0.0,256.6666666666667,0.3471310991541967
15->16,5,0.297371369600296,0.0,40.0,42.4,0.0,269.6,0.6603029607687673
26->29,5,0.19509945213794705,0.0,28.0,28.0,0.0,263.2,0.4390899680020029
27->29,5,0.29839238524436945,0.0,43.0,44.6,0.0,274.8,0.450444225182208
16->18,4,0.29843492805957794,0.0,40.0,42.5,0.0,273.5,0.4601086828130936
19->16,4,0.18123062327504155,0.0,44.0,44.5,0.0,273.5,0.3405877273185294
29->27,4,0.29843492805957794,0.0,43.0,45.0,0.0,274.5,0.450444225182208
29->28,4,0.23355777561664576,0.0,47.0,52.5,0.0,279.0,0.4382921400162224
19->17,3,0.29793859521547955,0.0,26.0,33.333333333333336,0.0,262.0,0.5200961449578333
10->9,1,0.2994984984397888,0.0,46.0,46.0,0.0,253.0,0.3252691193458121
