horizon_s,feature_group,model,rows,accuracy,macro_f1,degradation_recall,degradation_f1,roc_auc,pr_auc,brier,features_used
0,NO_SOC,ExtraTrees,2907.0,0.8593051255589955,0.8590959700074838,0.8377808988764045,0.8536672629695885,0.9066655238773517,0.9177703679593927,0.11787519772613192,31.0
0,NO_TARGET_PROGRESS,ExtraTrees,2907.0,0.8524251805985552,0.8522287035840053,0.8328651685393258,0.846840414137808,0.9019285516755438,0.9120180504730503,0.12666526962756922,36.0
0,NO_GRAPH,ExtraTrees,2907.0,0.8386652906776746,0.8384339535149941,0.8174157303370787,0.8323203432248838,0.8866775231651601,0.8954112630123101,0.13294079704170453,26.0
0,MOTION_GRAPH,ExtraTrees,2907.0,0.8376332989336085,0.8374211931716389,0.8181179775280899,0.8315488936473947,0.8936071829043769,0.8933687680615802,0.12953550678432504,22.0
0,FULL,ExtraTrees,2907.0,0.8297213622291022,0.8293140904704771,0.7970505617977528,0.8209764918625678,0.8881296074613408,0.8984709010741947,0.13205512039889125,39.0
5,NO_SOC,ExtraTrees,2905.0,0.7783132530120482,0.7779773128184095,0.7422252937111264,0.7693409742120344,0.8257434851729561,0.819318427967977,0.1725647514035122,31.0
5,NO_GRAPH,ExtraTrees,2905.0,0.770051635111876,0.7700437601081489,0.778852798894264,0.7713894592744696,0.8148340116204663,0.821995182717492,0.1768250676410705,26.0
0,ONLY_MOTION,ExtraTrees,2907.0,0.7671138630890952,0.7662570743543129,0.7212078651685393,0.7521054558769682,0.8223634240493383,0.8204224254301025,0.16684996063628493,9.0
5,NO_TARGET_PROGRESS,ExtraTrees,2905.0,0.7631669535283994,0.7629026043416449,0.7325501036627505,0.7549857549857549,0.8032448289493516,0.7920222931407443,0.1829788204269192,36.0
5,FULL,ExtraTrees,2905.0,0.7566265060240964,0.75621051382109,0.7180373185901866,0.7461400359066427,0.8115888034749537,0.8160151457004919,0.17814022957883674,39.0
0,SOC_MOTION_GRAPH,ExtraTrees,2907.0,0.7478500171998624,0.7439669762096297,0.6376404494382022,0.7124362495096116,0.8484199674967989,0.844014254704187,0.16489633967244005,30.0
5,MOTION_GRAPH,ExtraTrees,2905.0,0.7418244406196214,0.7414049718610629,0.7042156185210781,0.7309899569583931,0.8087251614664653,0.8042859301506289,0.18047930662277467,22.0
10,NO_SOC,ExtraTrees,2904.0,0.731404958677686,0.7313188095811974,0.7110501029512697,0.726507713884993,0.7914187353761054,0.7927706794838644,0.18732113409129691,31.0
5,SOC_MOTION_GRAPH,ExtraTrees,2905.0,0.7232358003442341,0.7229518588494748,0.6938493434692468,0.7140825035561877,0.7696388061767263,0.7588918994453383,0.19748612779600688,30.0
10,NO_GRAPH,ExtraTrees,2904.0,0.7207300275482094,0.7204905630684866,0.7474262182566919,0.7286717965874875,0.763349632567606,0.7608440212834351,0.20140824013639078,26.0
10,FULL,ExtraTrees,2904.0,0.7103994490358126,0.7097907237419594,0.6623198352779684,0.6964994586791772,0.7695693975987049,0.7824481277881975,0.19563328309776448,39.0
0,SOC_MOTION,ExtraTrees,2907.0,0.7100103199174407,0.704583605421454,0.586376404494382,0.6645443692797454,0.7678526104843658,0.7798477209480834,0.19761415860433873,17.0
10,NO_TARGET_PROGRESS,ExtraTrees,2904.0,0.6862947658402204,0.6853033082036155,0.6280027453671929,0.6676395476103612,0.7495744159098487,0.7515479142212398,0.20614931272022488,36.0
5,ONLY_MOTION,ExtraTrees,2905.0,0.6843373493975904,0.6843120615181951,0.677954388389772,0.6814866273011463,0.7312312120152096,0.7276161299426416,0.2141115012069274,9.0
20,NO_GRAPH,ExtraTrees,2901.0,0.6577042399172699,0.6576181542332522,0.671939477303989,0.663047166610112,0.6760788578370656,0.6583306434707268,0.2365898695695019,26.0
20,FULL,ExtraTrees,2901.0,0.6549465701482248,0.6549332854216107,0.6595598349381018,0.657074340527578,0.6804240429138121,0.6787039113000398,0.23696166319278447,39.0
20,NO_SOC,ExtraTrees,2901.0,0.651844191658049,0.6514704328984143,0.6176066024759285,0.6400570206699929,0.6979050713471595,0.6932417083416809,0.23138110634987383,31.0
10,ONLY_MOTION,ExtraTrees,2904.0,0.6504820936639119,0.6504369538077404,0.6595744680851063,0.6544092611508342,0.6841321760544975,0.6750826901219231,0.23364543470258708,9.0
10,SOC_MOTION_GRAPH,ExtraTrees,2904.0,0.6446280991735537,0.6422654914580925,0.5614275909402883,0.6131934032983508,0.7061823885738083,0.7119675269308654,0.22754023826409547,30.0
10,MOTION_GRAPH,ExtraTrees,2904.0,0.6394628099173554,0.6363424554067736,0.544955387783116,0.6026565464895636,0.7294549250834448,0.7266701043710209,0.22001340185893278,22.0
20,MOTION_GRAPH,ExtraTrees,2901.0,0.6356428817649087,0.635642189053071,0.6327372764786795,0.6351397997928891,0.6702766431330202,0.6513209303037664,0.24029048630254252,22.0
5,SOC_MOTION,ExtraTrees,2905.0,0.6327022375215147,0.6293074612093343,0.5390463026952315,0.5938332698896079,0.6503195201651778,0.6702556025261335,0.2501192218325424,17.0
20,SOC_MOTION_GRAPH,ExtraTrees,2901.0,0.6087556015167184,0.6087241722493724,0.5983493810178817,0.6052173913043478,0.6488665540524483,0.6434054001443716,0.24870889956123646,30.0
20,NO_TARGET_PROGRESS,ExtraTrees,2901.0,0.5911754567390555,0.5900351175207259,0.5371389270976616,0.5684133915574964,0.6426648503900781,0.6223144863483931,0.2470943602361561,36.0
20,ONLY_MOTION,ExtraTrees,2901.0,0.5901413305756635,0.5880234390125717,0.6602475928473177,0.6175619170151174,0.6156711842269116,0.6014260890415384,0.25473337340432234,9.0
10,SOC_MOTION,ExtraTrees,2904.0,0.5833333333333334,0.5832542658489192,0.5950583390528483,0.5889945652173914,0.5967827313178189,0.6200494743730278,0.2681749276186848,17.0
20,SOC_MOTION,ExtraTrees,2901.0,0.5698035160289555,0.5691498021190446,0.6072902338376891,0.5859323158593231,0.6260498170573467,0.661452391954042,0.25003134406233435,17.0
5,ONLY_SOC,ExtraTrees,2905.0,0.4657487091222031,0.44699244431361007,0.6523842432619212,0.5488372093023256,0.481696201307658,0.49084755818946646,0.3149299586460681,8.0
0,ONLY_SOC,ExtraTrees,2907.0,0.4527003783969728,0.41921655765814925,0.7071629213483146,0.5586685159500694,0.43472344814262015,0.4435292746699056,0.3562365408096501,8.0
10,ONLY_SOC,ExtraTrees,2904.0,0.4369834710743802,0.3575721084730627,0.7858613589567605,0.5834394904458599,0.4596450469790762,0.48986638295112456,0.33829070494823704,8.0
20,ONLY_SOC,ExtraTrees,2901.0,0.4960358497069976,0.3438836593962556,0.9752407152682255,0.6598417868776175,0.5984213888432074,0.5880607281501004,0.29976113917797714,8.0
