horizon_s,label_config,model,rows,accuracy,macro_f1,degradation_recall,degradation_f1,roc_auc,pr_auc,brier,features_used
0,strict,ExtraTrees,2907.0,0.8386652906776746,0.8370884277690145,0.7905951506245408,0.8210606638687524,0.8979775733732046,0.8905175032086198,0.12920710848010233,39.0
0,loose,ExtraTrees,2907.0,0.8304093567251462,0.83026763606441,0.8120936280884266,0.8351721832163156,0.8896249956067901,0.9080568695746554,0.1339049840513468,39.0
0,default,ExtraTrees,2907.0,0.8297213622291022,0.8293140904704771,0.7970505617977528,0.8209764918625678,0.8881206103631419,0.8984709713786824,0.13205512039889125,39.0
5,default,ExtraTrees,2905.0,0.7566265060240964,0.75621051382109,0.7180373185901866,0.7461400359066427,0.811585959503746,0.8160128775320554,0.17814022957883674,39.0
10,strict,ExtraTrees,2904.0,0.7510330578512396,0.750303232405712,0.7228571428571429,0.7368037859483072,0.8016339760638298,0.8087719617391549,0.18189710207248777,39.0
5,loose,ExtraTrees,2905.0,0.7301204819277108,0.7300613380590852,0.6958199356913183,0.7340569877883311,0.7828376801238537,0.8053599331436311,0.19428248984460011,39.0
5,strict,ExtraTrees,2905.0,0.7228915662650602,0.7181701708520087,0.6201438848920864,0.6816923685251087,0.8068848683429495,0.791166590497618,0.18180422960161158,39.0
10,default,ExtraTrees,2904.0,0.7103994490358126,0.7097907237419594,0.6623198352779684,0.6964994586791772,0.7695708205602768,0.7824521669824862,0.19563328309776448,39.0
10,loose,ExtraTrees,2904.0,0.7042011019283747,0.7030217767791739,0.7113665389527458,0.7217363135730482,0.7515914128137724,0.7711492030345464,0.20630436907794356,39.0
20,default,ExtraTrees,2901.0,0.6549465701482248,0.6549332854216107,0.6595598349381018,0.657074340527578,0.6804211911187497,0.6787042025164349,0.23696166319278447,39.0
20,strict,ExtraTrees,2901.0,0.6521889003791796,0.6511541101322789,0.6206156048675734,0.6321545752825374,0.6759571707610532,0.6391883869220851,0.2384565124246376,39.0
20,loose,ExtraTrees,2901.0,0.6477076870044812,0.6452594726791517,0.6781829814459372,0.6747294716740929,0.6689516156025886,0.6827552726708326,0.2394669921275999,39.0
