case_id,automatic_case_type,session,case_time,mission_leg_id,temporal_segment_id
CASE_001,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:39:18,S4_SAFETY_RICH_NAVEEN12_L58,1.0
CASE_002,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:47:46,S4_SAFETY_RICH_NAVEEN12_L12,1.0
CASE_003,negative_control,S5_REAL_TMS_JULY10,2026-07-10 10:28:35,S5_REAL_TMS_JULY10_L129,9.0
CASE_004,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 17:00:39,S1_LOW_SOC_STRESS_L547,90.0
CASE_005,negative_control,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:37:05,S3_MEDIUM_SOC_WHOLETESTING_L54,1.0
CASE_006,negative_control,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:40:20,S3_MEDIUM_SOC_WHOLETESTING_L62,1.0
CASE_007,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:40:06,S4_SAFETY_RICH_NAVEEN12_L59,1.0
CASE_008,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:55:02,S4_SAFETY_RICH_NAVEEN12_L16,1.0
CASE_009,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 16:16:46,S1_LOW_SOC_STRESS_L331,54.0
CASE_010,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 15:14:24,S1_LOW_SOC_STRESS_L31,8.0
CASE_011,detected_onset,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:35:04,S3_MEDIUM_SOC_WHOLETESTING_L50,1.0
CASE_012,negative_control,S2_HIGH_SOC_CONTROL,2026-06-18 11:26:52,S2_HIGH_SOC_CONTROL_L81,13.0
CASE_013,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:14:13,S4_SAFETY_RICH_NAVEEN12_L33,1.0
CASE_014,detected_onset,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:20:10,S3_MEDIUM_SOC_WHOLETESTING_L24,1.0
CASE_015,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:02:13,S4_SAFETY_RICH_NAVEEN12_L21,1.0
CASE_016,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 15:50:28,S1_LOW_SOC_STRESS_L242,43.0
CASE_017,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 17:08:22,S1_LOW_SOC_STRESS_L567,95.0
