case_id,session,case_time,mission_leg_id,expert_label,expert_confidence,expert_reason,reviewer_id,review_date
CASE_001,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:39:18,S4_SAFETY_RICH_NAVEEN12_L58,,,,,
CASE_002,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:47:46,S4_SAFETY_RICH_NAVEEN12_L12,,,,,
CASE_003,S5_REAL_TMS_JULY10,2026-07-10 10:28:35,S5_REAL_TMS_JULY10_L129,,,,,
CASE_004,S1_LOW_SOC_STRESS,2026-06-22 17:00:39,S1_LOW_SOC_STRESS_L547,,,,,
CASE_005,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:37:05,S3_MEDIUM_SOC_WHOLETESTING_L54,,,,,
CASE_006,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:40:20,S3_MEDIUM_SOC_WHOLETESTING_L62,,,,,
CASE_007,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:40:06,S4_SAFETY_RICH_NAVEEN12_L59,,,,,
CASE_008,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:55:02,S4_SAFETY_RICH_NAVEEN12_L16,,,,,
CASE_009,S1_LOW_SOC_STRESS,2026-06-22 16:16:46,S1_LOW_SOC_STRESS_L331,,,,,
CASE_010,S1_LOW_SOC_STRESS,2026-06-22 15:14:24,S1_LOW_SOC_STRESS_L31,,,,,
CASE_011,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:35:04,S3_MEDIUM_SOC_WHOLETESTING_L50,,,,,
CASE_012,S2_HIGH_SOC_CONTROL,2026-06-18 11:26:52,S2_HIGH_SOC_CONTROL_L81,,,,,
CASE_013,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:14:13,S4_SAFETY_RICH_NAVEEN12_L33,,,,,
CASE_014,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:20:10,S3_MEDIUM_SOC_WHOLETESTING_L24,,,,,
CASE_015,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:02:13,S4_SAFETY_RICH_NAVEEN12_L21,,,,,
CASE_016,S1_LOW_SOC_STRESS,2026-06-22 15:50:28,S1_LOW_SOC_STRESS_L242,,,,,
CASE_017,S1_LOW_SOC_STRESS,2026-06-22 17:08:22,S1_LOW_SOC_STRESS_L567,,,,,
CASE_018,S1_LOW_SOC_STRESS,2026-06-22 16:29:02,S1_LOW_SOC_STRESS_L428,,,,,
CASE_019,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:56:58,S4_SAFETY_RICH_NAVEEN12_L17,,,,,
CASE_020,S2_HIGH_SOC_CONTROL,2026-06-18 11:19:04,S2_HIGH_SOC_CONTROL_L15,,,,,
CASE_021,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:18:10,S4_SAFETY_RICH_NAVEEN12_L37,,,,,
CASE_022,S1_LOW_SOC_STRESS,2026-06-22 16:27:02,S1_LOW_SOC_STRESS_L427,,,,,
CASE_023,S1_LOW_SOC_STRESS,2026-06-22 16:04:12,S1_LOW_SOC_STRESS_L283,,,,,
CASE_024,S1_LOW_SOC_STRESS,2026-06-22 16:51:12,S1_LOW_SOC_STRESS_L520,,,,,
CASE_025,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:44:43,S4_SAFETY_RICH_NAVEEN12_L11,,,,,
CASE_026,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:38:59,S3_MEDIUM_SOC_WHOLETESTING_L60,,,,,
CASE_027,S1_LOW_SOC_STRESS,2026-06-22 16:13:51,S1_LOW_SOC_STRESS_L322,,,,,
CASE_028,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:32:51,S3_MEDIUM_SOC_WHOLETESTING_L46,,,,,
CASE_029,S1_LOW_SOC_STRESS,2026-06-22 16:24:46,S1_LOW_SOC_STRESS_L414,,,,,
CASE_030,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:43:56,S4_SAFETY_RICH_NAVEEN12_L60,,,,,
