case_id,session,relative_time_s,timestamp,mission_leg_id,temporal_segment_id,active_mission,external_hold,telemetry_available,observed_sample,short_causal_hold,seconds_since_observed,speed_mps,speed_mean_10s,stop_share_10s,power_w,current_ma,voltage_mv,soc,wheel_mean,requested_speed_mps,command_mismatch_share_10s,target_node,target_reached,graph_remaining_m,graph_progress_5s_m,euclidean_remaining_m,euclidean_progress_5s_m,route_source,mission_state
CASE_001,S4_SAFETY_RICH_NAVEEN12,-15.0,2026-03-01 01:39:03,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.2712078,0.2117180523484848,0.1,286.0,6639.5,,55.0,271.25,,,1.0,False,0.6167955694233279,0.7209120842185065,0.6167955694233279,0.7209120842185065,reconstructed_shortest,PROGRESS
CASE_001,S4_SAFETY_RICH_NAVEEN12,-14.0,2026-03-01 01:39:04,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.2703569666666666,0.2089421640151515,0.1,281.5,6533.333333333333,,56.0,270.1666666666667,,,1.0,False,0.339115720604869,0.7261322841246608,0.339115720604869,0.726132284124661,reconstructed_shortest,PROGRESS
CASE_001,S4_SAFETY_RICH_NAVEEN12,-13.0,2026-03-01 01:39:05,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.1103781881818181,0.1902215753333333,0.1,262.3636363636364,6082.0,,56.0,110.54545454545456,,,1.0,False,0.1461262355455655,0.6945846584804697,0.1461262355455655,0.6945846584804697,reconstructed_shortest,PROGRESS
CASE_001,S4_SAFETY_RICH_NAVEEN12,-12.0,2026-03-01 01:39:06,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0993171572727272,0.1758577119696969,0.1,262.3636363636364,6082.0,,56.0,99.72727272727272,,,1.0,False,0.0453830007276883,0.7244258574806548,0.0453830007276883,0.7244258574806547,reconstructed_shortest,PROGRESS
CASE_001,S4_SAFETY_RICH_NAVEEN12,-11.0,2026-03-01 01:39:07,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.014812489090909,0.1592391045151515,0.2,231.9090909090909,5352.454545454545,,56.0,14.954545454545451,,,1.0,False,0.0098355038025308,0.7491422209195464,0.0098355038025308,0.7491422209195464,reconstructed_shortest,PROGRESS
CASE_001,S4_SAFETY_RICH_NAVEEN12,-10.0,2026-03-01 01:39:08,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0,0.1293920686818181,0.3,227.0,5233.0,,57.0,0.0,,,1.0,False,0.010702525356195,0.6060930440671328,0.010702525356195,0.6060930440671328,reconstructed_shortest,PROGRESS
CASE_001,S4_SAFETY_RICH_NAVEEN12,-9.0,2026-03-01 01:39:09,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0,0.0994634886818181,0.4,227.0,5233.0,,56.0,0.0,,,1.0,False,0.0101990043384578,0.3289167162664111,0.0101990043384578,0.3289167162664111,reconstructed_shortest,PROGRESS
CASE_001,S4_SAFETY_RICH_NAVEEN12,-8.0,2026-03-01 01:39:10,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0,0.0820140128484848,0.5,227.0,5233.0,,57.0,0.0,,,1.0,False,0.0126992334085696,0.1334270021369959,0.0126992334085696,0.1334270021369959,reconstructed_shortest,PROGRESS
CASE_001,S4_SAFETY_RICH_NAVEEN12,-7.0,2026-03-01 01:39:11,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0,0.0820140128484848,0.5,227.0,5233.0,,57.0,0.0,,,1.0,False,0.0121812180835924,0.0332017826440959,0.0121812180835924,0.0332017826440959,reconstructed_shortest,PROGRESS
CASE_001,S4_SAFETY_RICH_NAVEEN12,-6.0,2026-03-01 01:39:12,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0,0.0766072601212121,0.6,227.0,5233.0,,57.0,0.0,,,1.0,False,0.010747030660061,-0.0009115268575301,0.010747030660061,-0.0009115268575301,reconstructed_shortest,STALLED
CASE_001,S4_SAFETY_RICH_NAVEEN12,-5.0,2026-03-01 01:39:13,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0,0.0494864801212121,0.7,227.0,5233.0,,57.0,0.0,,,1.0,False,0.0145820717584519,-0.0038795464022568,0.0145820717584519,-0.0038795464022568,reconstructed_shortest,STALLED
CASE_001,S4_SAFETY_RICH_NAVEEN12,-4.0,2026-03-01 01:39:14,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0,0.0224507834545454,0.8,227.0,5233.0,,57.0,0.0,,,1.0,False,0.0145013128371218,-0.0043023084986639,0.0145013128371218,-0.0043023084986639,reconstructed_shortest,STALLED
CASE_001,S4_SAFETY_RICH_NAVEEN12,-3.0,2026-03-01 01:39:15,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0,0.0114129646363636,0.9,227.0,5233.0,,57.0,0.0,,,1.0,False,0.0147978697453378,-0.0020986363367682,0.0147978697453378,-0.0020986363367682,reconstructed_shortest,STALLED
CASE_001,S4_SAFETY_RICH_NAVEEN12,-2.0,2026-03-01 01:39:16,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0,0.0014812489090909,1.0,227.0,5233.0,,57.0,0.0,,,1.0,False,0.0155578703287218,-0.0033766522451294,0.0155578703287218,-0.0033766522451294,reconstructed_shortest,STALLED
CASE_001,S4_SAFETY_RICH_NAVEEN12,-1.0,2026-03-01 01:39:17,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0,0.0,1.0,227.0,5233.0,,57.0,0.0,,,1.0,False,0.0143669210366869,-0.0036198903766259,0.0143669210366869,-0.0036198903766259,reconstructed_shortest,STALLED
CASE_001,S4_SAFETY_RICH_NAVEEN12,0.0,2026-03-01 01:39:18,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0,0.0,1.0,227.0,5233.0,,57.0,0.0,,,1.0,False,0.0128468437152669,0.001735228043185,0.0128468437152669,0.001735228043185,reconstructed_shortest,STALLED
CASE_001,S4_SAFETY_RICH_NAVEEN12,1.0,2026-03-01 01:39:19,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0,0.0,1.0,227.0,5233.0,,57.0,0.0,,,1.0,False,0.012465189489135,0.0020361233479868,0.012465189489135,0.0020361233479868,reconstructed_shortest,STALLED
CASE_001,S4_SAFETY_RICH_NAVEEN12,2.0,2026-03-01 01:39:20,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0,0.0,1.0,227.0,5233.0,,57.0,0.0,,,1.0,False,0.0133019723974008,0.0014958973479369,0.0133019723974008,0.0014958973479369,reconstructed_shortest,STALLED
CASE_001,S4_SAFETY_RICH_NAVEEN12,3.0,2026-03-01 01:39:21,S4_SAFETY_RICH_NAVEEN12_L58,1.0,1,0,1,1,0,0,0.0,0.0,1.0,227.0,5233.0,,57.0,0.0,,,1.0,False,0.0129864311987956,0.0025714391299262,0.0129864311987956,0.0025714391299262,reconstructed_shortest,STALLED
CASE_001,S4_SAFETY_RICH_NAVEEN12,4.0,2026-03-01 01:39:22,S4_SAFETY_RICH_NAVEEN12_L59,1.0,1,0,1,1,0,0,0.0,0.0,1.0,228.75,5274.25,,56.0,0.0,,,5.0,False,22.44041959291683,,20.40940741958783,,reconstructed_shortest,PROGRESS
CASE_001,S4_SAFETY_RICH_NAVEEN12,5.0,2026-03-01 01:39:23,S4_SAFETY_RICH_NAVEEN12_L59,1.0,1,0,1,1,0,0,0.0002127119999999,2.1271199999999997e-05,1.0,256.0,5923.0,,56.0,0.25,,,5.0,False,22.442025734685156,,20.411153473875043,,reconstructed_shortest,PROGRESS
CASE_002,S4_SAFETY_RICH_NAVEEN12,-15.0,2026-03-01 00:47:31,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.2184745818181818,0.1318437320151515,0.4,290.09090909090907,6458.272727272727,,63.0,218.36363636363637,,,35.0,False,0.4191336338272109,0.9843063042339002,0.4191336338272109,0.9228352080600136,reconstructed_shortest,PROGRESS
CASE_002,S4_SAFETY_RICH_NAVEEN12,-14.0,2026-03-01 00:47:32,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.1477284816666666,0.1466165801818181,0.3,282.5833333333333,6285.333333333333,,64.0,147.79166666666666,,,35.0,False,0.2127635565692129,1.1202163103566614,0.2127635565692129,0.9595429254608744,reconstructed_shortest,PROGRESS
CASE_002,S4_SAFETY_RICH_NAVEEN12,-13.0,2026-03-01 00:47:33,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0795542849999999,0.1545720086818181,0.2,275.5,6122.0,,64.0,79.75,,,35.0,False,0.1047121811241466,1.1134340178297495,0.1047121811241466,0.8873892940550814,reconstructed_shortest,PROGRESS
CASE_002,S4_SAFETY_RICH_NAVEEN12,-12.0,2026-03-01 00:47:34,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0803696783333333,0.1626089765151515,0.1,274.9166666666667,6110.5,,64.0,80.45833333333333,,,35.0,False,0.0256486600527113,1.0234658841761797,0.0256486600527113,0.7696032704180106,reconstructed_shortest,PROGRESS
CASE_002,S4_SAFETY_RICH_NAVEEN12,-11.0,2026-03-01 00:47:35,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.013400855,0.1639490620151515,0.1,240.33333333333337,5325.833333333333,,64.0,13.416666666666668,,,35.0,False,0.0139523220025279,0.5907471176296782,0.0139523220025279,0.5907471176296782,reconstructed_shortest,PROGRESS
CASE_002,S4_SAFETY_RICH_NAVEEN12,-10.0,2026-03-01 00:47:36,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0,0.1484069056818182,0.2,234.0,5183.454545454545,,64.0,0.0,,,35.0,False,0.0151957706888547,0.4039378631383563,0.0151957706888547,0.4039378631383562,reconstructed_shortest,PROGRESS
CASE_002,S4_SAFETY_RICH_NAVEEN12,-9.0,2026-03-01 00:47:37,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0,0.1228427920454545,0.3,234.0,5184.0,,64.0,0.0,,,35.0,False,0.015298184595538,0.1974653719736749,0.015298184595538,0.1974653719736749,reconstructed_shortest,PROGRESS
CASE_002,S4_SAFETY_RICH_NAVEEN12,-8.0,2026-03-01 00:47:38,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0,0.0982996956818181,0.4,234.0,5184.0,,65.0,0.0,,,35.0,False,0.0152115999930615,0.089500581131085,0.0152115999930615,0.089500581131085,reconstructed_shortest,PROGRESS
CASE_002,S4_SAFETY_RICH_NAVEEN12,-7.0,2026-03-01 00:47:39,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0,0.0755926881818181,0.5,234.0,5184.0,,64.0,0.0,,,35.0,False,0.0152115999930615,0.0104370600596498,0.0152115999930615,0.0104370600596498,reconstructed_shortest,PROGRESS
CASE_002,S4_SAFETY_RICH_NAVEEN12,-6.0,2026-03-01 00:47:40,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0,0.0539527881818181,0.6,234.0,5184.0,,65.0,0.0,,,35.0,False,0.0153924505666928,-0.0014401285641649,0.0153924505666928,-0.0014401285641649,reconstructed_shortest,STALLED
CASE_002,S4_SAFETY_RICH_NAVEEN12,-5.0,2026-03-01 00:47:41,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0,0.03210533,0.7,234.0,5184.0,,65.0,0.0,,,35.0,False,0.0149618692799031,0.0002339014089515,0.0149618692799031,0.0002339014089515,reconstructed_shortest,STALLED
CASE_002,S4_SAFETY_RICH_NAVEEN12,-4.0,2026-03-01 00:47:42,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0,0.0173324818333333,0.8,234.0,5184.0,,64.0,0.0,,,35.0,False,0.0149618692799031,0.0003363153156348,0.0149618692799031,0.0003363153156348,reconstructed_shortest,STALLED
CASE_002,S4_SAFETY_RICH_NAVEEN12,-3.0,2026-03-01 00:47:43,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0,0.0093770533333333,0.9,234.0,5184.0,,64.0,0.0,,,35.0,False,0.0149618692799031,0.0002497307131583,0.0149618692799031,0.0002497307131583,reconstructed_shortest,STALLED
CASE_002,S4_SAFETY_RICH_NAVEEN12,-2.0,2026-03-01 00:47:44,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0,0.0013400855,1.0,234.0,5184.0,,65.0,0.0,,,35.0,False,0.0149618692799031,0.0002497307131583,0.0149618692799031,0.0002497307131583,reconstructed_shortest,STALLED
CASE_002,S4_SAFETY_RICH_NAVEEN12,-1.0,2026-03-01 00:47:45,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0,0.0,1.0,234.0,5184.0,,65.0,0.0,,,35.0,False,0.0149618692799031,0.0004305812867897,0.0149618692799031,0.0004305812867897,reconstructed_shortest,STALLED
CASE_002,S4_SAFETY_RICH_NAVEEN12,0.0,2026-03-01 00:47:46,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0,0.0,1.0,234.0,5184.0,,65.0,0.0,,,35.0,False,0.0149618692799031,0.0,0.0149618692799031,0.0,reconstructed_shortest,STALLED
CASE_002,S4_SAFETY_RICH_NAVEEN12,1.0,2026-03-01 00:47:47,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0,0.0,1.0,234.0,5184.0,,65.0,0.0,,,35.0,False,0.0149618692799031,0.0,0.0149618692799031,0.0,reconstructed_shortest,STALLED
CASE_002,S4_SAFETY_RICH_NAVEEN12,2.0,2026-03-01 00:47:48,S4_SAFETY_RICH_NAVEEN12_L12,1.0,1,0,1,1,0,0,0.0,0.0,1.0,234.0,5184.0,,65.0,0.0,,,35.0,False,0.0149618692799031,0.0,0.0149618692799031,0.0,reconstructed_shortest,STALLED
CASE_002,S4_SAFETY_RICH_NAVEEN12,3.0,2026-03-01 00:47:49,S4_SAFETY_RICH_NAVEEN12_L13,1.0,1,0,1,1,0,0,0.0,0.0,1.0,234.0,5184.0,,65.0,0.0,,,30.0,False,2.1752673010438284,,2.0540609196740856,,reconstructed_shortest,PROGRESS
CASE_002,S4_SAFETY_RICH_NAVEEN12,4.0,2026-03-01 00:47:50,S4_SAFETY_RICH_NAVEEN12_L13,1.0,1,0,1,1,0,0,0.1997366,0.01997366,0.9,283.4166666666667,6308.166666666667,,63.0,199.79166666666669,,,30.0,False,2.2421078806710977,,2.0825181432216167,,reconstructed_shortest,PROGRESS
CASE_002,S4_SAFETY_RICH_NAVEEN12,5.0,2026-03-01 00:47:51,S4_SAFETY_RICH_NAVEEN12_L13,1.0,1,0,1,1,0,0,0.2950895454545454,0.0494826145454545,0.8,292.8181818181818,6520.181818181818,,63.0,294.9545454545455,,,30.0,False,2.5358870343093805,,2.2320484065951396,,reconstructed_shortest,PROGRESS
CASE_003,S5_REAL_TMS_JULY10,-15.0,2026-07-10 10:28:20,S5_REAL_TMS_JULY10_L129,9.0,1,0,1,0,1,1,0.2922662794589996,0.2974139124155044,0.0,280.0,,44753.0,63.0,,,,6.0,False,20.8650924050119,-1.5275115942539017,15.14280758238825,1.521430011144112,recorded,PROGRESS
