session,timestamp,mission_leg_id,target_node,target_reached,active_mission,speed_mps,state_speed_mean_10s,state_stop_share_10s,state_cartesian_displacement_10s_m,soc,graph_remaining_m,euclidean_remaining_m,route_completion,degradation_candidate,current_degraded,mission_state,route_source,near_target_003m
S1_LOW_SOC_STRESS,2026-06-22 15:14:24,S1_LOW_SOC_STRESS_L31,6.0,False,1,0.0,0.0,1.0,0.0012989044189417598,58.0,21.960301835648984,19.814431440985803,0.13541669305846515,1.0,1.0,STALLED,recorded,0
S1_LOW_SOC_STRESS,2026-06-22 15:30:32,S1_LOW_SOC_STRESS_L135,6.0,False,1,0.0,0.0,1.0,0.017616681832102982,56.0,14.725066070728742,11.143474889155122,0.09046284064898624,1.0,1.0,STALLED,recorded,0
S1_LOW_SOC_STRESS,2026-06-22 15:37:14,S1_LOW_SOC_STRESS_L166,6.0,False,1,0.0,0.0,1.0,0.02732229085906359,55.0,14.718617964279723,11.148421994139158,0.0,1.0,1.0,STALLED,recorded,0
S1_LOW_SOC_STRESS,2026-06-22 15:44:27,S1_LOW_SOC_STRESS_L211,6.0,False,1,0.0,0.0,1.0,0.0037190190897645435,54.0,14.887068514441431,11.008262729473033,0.0011978053813234135,1.0,1.0,STALLED,recorded,0
S1_LOW_SOC_STRESS,2026-06-22 15:50:28,S1_LOW_SOC_STRESS_L242,6.0,False,1,0.0,0.0,1.0,0.0,53.0,20.616448733307685,15.39050672396174,0.1352394162607301,1.0,1.0,STALLED,recorded,0
S1_LOW_SOC_STRESS,2026-06-22 15:52:43,S1_LOW_SOC_STRESS_L250,6.0,False,1,0.0,0.0,1.0,0.0013415483587957725,53.0,14.643161043701676,11.219052171861874,0.10617048001799911,1.0,1.0,STALLED,recorded,0
S1_LOW_SOC_STRESS,2026-06-22 15:57:26,S1_LOW_SOC_STRESS_L275,2.0,False,1,0.0,0.0,1.0,0.010523263361337068,52.0,3.6244275715508714,3.4443351707326175,0.46112217401761113,1.0,1.0,STALLED,recorded,0
S1_LOW_SOC_STRESS,2026-06-22 16:06:15,S1_LOW_SOC_STRESS_L294,3.0,False,1,0.0,0.0,1.0,0.0,50.0,2.1946099112210953,0.8272977221463942,0.46285091377287146,1.0,1.0,STALLED,recorded,0
S1_LOW_SOC_STRESS,2026-06-22 16:10:50,S1_LOW_SOC_STRESS_L318,6.0,False,1,0.0,0.0,1.0,0.0025997161865234375,50.0,12.128389923918384,5.751263938651069,0.0,1.0,1.0,STALLED,recorded,0
S1_LOW_SOC_STRESS,2026-06-22 16:13:51,S1_LOW_SOC_STRESS_L322,4.0,False,1,0.0,0.0,1.0,0.002958336773927688,49.0,11.412663872687688,8.97362304729761,0.43454377785287646,1.0,1.0,STALLED,recorded,0
