session,feature,non_null_fraction,unique
S1_LOW_SOC_STRESS,session,1.0,1.0
S1_LOW_SOC_STRESS,timestamp,1.0,4240.0
S1_LOW_SOC_STRESS,x,1.0,2752.0
S1_LOW_SOC_STRESS,y,1.0,2997.0
S1_LOW_SOC_STRESS,target_node,1.0,16.0
S1_LOW_SOC_STRESS,speed_mps,1.0,519.0
S1_LOW_SOC_STRESS,requested_speed_mps,0.0,0.0
S1_LOW_SOC_STRESS,power_w,0.9997641509433962,115.0
S1_LOW_SOC_STRESS,energy_cumulative,0.9997641509433962,4229.0
S1_LOW_SOC_STRESS,current_ma,0.0,0.0
S1_LOW_SOC_STRESS,voltage_mv,0.9997641509433962,1036.0
S1_LOW_SOC_STRESS,soc,0.9995283018867924,58.0
S1_LOW_SOC_STRESS,heading,1.0,2690.0
S1_LOW_SOC_STRESS,target_reached,1.0,2.0
S1_LOW_SOC_STRESS,wheel_r,0.0,0.0
S1_LOW_SOC_STRESS,wheel_l,0.0,0.0
S1_LOW_SOC_STRESS,segment,0.9997641509433962,198.0
S1_LOW_SOC_STRESS,position_confidence,0.9997641509433962,101.0
S1_LOW_SOC_STRESS,snap_node_logged,1.0,35.0
S1_LOW_SOC_STRESS,edge_u_logged,1.0,35.0
S1_LOW_SOC_STRESS,edge_v_logged,1.0,35.0
S1_LOW_SOC_STRESS,recorded_route,1.0,
S1_LOW_SOC_STRESS,status,1.0,5.0
S1_LOW_SOC_STRESS,tms_action,1.0,27.0
S1_LOW_SOC_STRESS,hold_reason,1.0,28.0
S1_LOW_SOC_STRESS,brake_hold,1.0,2.0
S1_LOW_SOC_STRESS,scanner_hold,1.0,2.0
S1_LOW_SOC_STRESS,operator_hold,1.0,2.0
S1_LOW_SOC_STRESS,deadlock_hold,1.0,2.0
S1_LOW_SOC_STRESS,emergency_hold,1.0,2.0
S1_LOW_SOC_STRESS,safety_circuit,1.0,1.0
S1_LOW_SOC_STRESS,bumper,1.0,1.0
S1_LOW_SOC_STRESS,collision,1.0,1.0
S1_LOW_SOC_STRESS,telemetry_age_s,0.0,0.0
S1_LOW_SOC_STRESS,network_condition,1.0,1.0
S1_LOW_SOC_STRESS,source_annotation_quality,1.0,1.0
S2_HIGH_SOC_CONTROL,session,1.0,1.0
S2_HIGH_SOC_CONTROL,timestamp,1.0,790.0
S2_HIGH_SOC_CONTROL,x,1.0,656.0
S2_HIGH_SOC_CONTROL,y,1.0,682.0
S2_HIGH_SOC_CONTROL,target_node,1.0,6.0
