horizon_s,feature_set,test_session,rows,positive_anchors,pr_auc
5,euclidean_no_soc,S1_LOW_SOC_STRESS,2059,49,0.6151501847836864
5,euclidean_no_soc,S2_HIGH_SOC_CONTROL,387,0,
5,euclidean_no_soc,S3_MEDIUM_SOC_WHOLETESTING,1117,7,0.4248253355396212
5,euclidean_no_soc,S4_SAFETY_RICH_NAVEEN12,2692,63,0.6035264408053497
5,euclidean_no_soc,S5_REAL_TMS_JULY10,724,0,
5,full_graph_no_soc,S1_LOW_SOC_STRESS,2059,49,0.6763778537647757
5,full_graph_no_soc,S2_HIGH_SOC_CONTROL,387,0,
5,full_graph_no_soc,S3_MEDIUM_SOC_WHOLETESTING,1117,7,0.34056078581839705
5,full_graph_no_soc,S4_SAFETY_RICH_NAVEEN12,2692,63,0.7688882456494451
5,full_graph_no_soc,S5_REAL_TMS_JULY10,724,0,
10,euclidean_no_soc,S1_LOW_SOC_STRESS,1648,132,0.8017786207993542
10,euclidean_no_soc,S2_HIGH_SOC_CONTROL,248,0,
10,euclidean_no_soc,S3_MEDIUM_SOC_WHOLETESTING,1003,13,0.7797252990434381
10,euclidean_no_soc,S4_SAFETY_RICH_NAVEEN12,2453,168,0.6596888056252747
10,euclidean_no_soc,S5_REAL_TMS_JULY10,579,0,
10,full_graph_no_soc,S1_LOW_SOC_STRESS,1648,132,0.8102997804266808
10,full_graph_no_soc,S2_HIGH_SOC_CONTROL,248,0,
10,full_graph_no_soc,S3_MEDIUM_SOC_WHOLETESTING,1003,13,0.8175227083048655
10,full_graph_no_soc,S4_SAFETY_RICH_NAVEEN12,2453,168,0.7658884912399816
10,full_graph_no_soc,S5_REAL_TMS_JULY10,579,0,
20,euclidean_no_soc,S1_LOW_SOC_STRESS,1108,283,0.6275776596719862
20,euclidean_no_soc,S2_HIGH_SOC_CONTROL,93,0,
20,euclidean_no_soc,S3_MEDIUM_SOC_WHOLETESTING,803,23,0.33430988715325444
20,euclidean_no_soc,S4_SAFETY_RICH_NAVEEN12,2060,358,0.5132466991215497
20,euclidean_no_soc,S5_REAL_TMS_JULY10,368,0,
20,full_graph_no_soc,S1_LOW_SOC_STRESS,1108,283,0.6523843892478671
20,full_graph_no_soc,S2_HIGH_SOC_CONTROL,93,0,
20,full_graph_no_soc,S3_MEDIUM_SOC_WHOLETESTING,803,23,0.1870814108388753
20,full_graph_no_soc,S4_SAFETY_RICH_NAVEEN12,2060,358,0.5312361589449911
20,full_graph_no_soc,S5_REAL_TMS_JULY10,368,0,
