n,positive_rate,threshold,accuracy,macro_f1,precision,recall,f1_positive,roc_auc,pr_auc,brier,tn,fp,fn,tp,task,horizon_s,variant,feature_set,test_session,model,calibration_source,calibration_method,fit_rows,calibration_rows,test_rows,fit_s,infer_ms_row,n_used_features,removed_all_missing_features
2148,0.04888268156424581,0.14,0.9511173184357542,0.7064745055525694,0.5,0.3904761904761905,0.4385026737967914,0.9794606437778244,0.613040208110637,0.03663615072803433,2002,41,64,41,pre_onset_currently_healthy,5,all_sessions,no_graph,S1_LOW_SOC_STRESS,LogisticRegression,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3897,1159,2148,0.02436045799549902,0.001089754190704147,24,command_mismatch_share_10s|command_mismatch_share_30s
2148,0.04888268156424581,0.16000000000000003,0.9511173184357542,0.4874731567644954,0.0,0.0,0.0,0.9820268978859288,0.6392199489491501,0.043594580712786636,2043,0,105,0,pre_onset_currently_healthy,5,all_sessions,no_graph,S1_LOW_SOC_STRESS,ExtraTrees,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3897,1159,2148,0.17853204200218897,0.01447955447157955,24,command_mismatch_share_10s|command_mismatch_share_30s
2148,0.04888268156424581,0.14,0.957169459962756,0.7815016784088948,0.5555555555555556,0.6190476190476191,0.5855855855855856,0.9818544157751207,0.6882404337885621,0.03206086856294142,1991,52,40,65,pre_onset_currently_healthy,5,all_sessions,no_graph,S1_LOW_SOC_STRESS,RandomForest,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3897,1159,2148,0.31569350000063423,0.01904356750234523,24,command_mismatch_share_10s|command_mismatch_share_30s
2148,0.04888268156424581,0.14,0.962756052141527,0.8083682754929075,0.6086956521739131,0.6666666666666666,0.6363636363636364,0.9804279421019508,0.6181179114178291,0.03013732181525928,1998,45,35,70,pre_onset_currently_healthy,5,all_sessions,no_graph,S1_LOW_SOC_STRESS,HistGradientBoosting,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3897,1159,2148,0.38640962500358,0.003221446462317016,24,command_mismatch_share_10s|command_mismatch_share_30s
387,0.0,0.22000000000000003,1.0,0.5,0.0,0.0,0.0,,,2.0258907881331737e-10,387,0,0,0,pre_onset_currently_healthy,5,all_sessions,no_graph,S2_HIGH_SOC_CONTROL,LogisticRegression,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,4031,2786,387,0.01820074999704957,0.004627043926560149,24,command_mismatch_share_10s|command_mismatch_share_30s
387,0.0,0.24000000000000005,1.0,0.5,0.0,0.0,0.0,,,1.1098023566355663e-07,387,0,0,0,pre_onset_currently_healthy,5,all_sessions,no_graph,S2_HIGH_SOC_CONTROL,ExtraTrees,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,4031,2786,387,0.19016841700067744,0.0737465555431894,24,command_mismatch_share_10s|command_mismatch_share_30s
387,0.0,0.26,1.0,0.5,0.0,0.0,0.0,,,7.394087943687439e-08,387,0,0,0,pre_onset_currently_healthy,5,all_sessions,no_graph,S2_HIGH_SOC_CONTROL,RandomForest,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,4031,2786,387,0.32634229100222,0.0745233617645077,24,command_mismatch_share_10s|command_mismatch_share_30s
387,0.0,0.24000000000000005,1.0,0.5,0.0,0.0,0.0,,,1.1998496714786121e-05,387,0,0,0,pre_onset_currently_healthy,5,all_sessions,no_graph,S2_HIGH_SOC_CONTROL,HistGradientBoosting,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,4031,2786,387,0.48125445800542366,0.017451118849770186,24,command_mismatch_share_10s|command_mismatch_share_30s
1159,0.023295944779982744,0.30000000000000004,0.9508196721311475,0.6171525930562075,0.2,0.37037037037037035,0.2597402597402597,0.9100248658552545,0.17691454375507282,0.02447735345133,1092,40,17,10,pre_onset_currently_healthy,5,all_sessions,no_graph,S3_MEDIUM_SOC_WHOLETESTING,LogisticRegression,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3259,2786,1159,0.012665082998864818,0.0016434788606989393,21,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
1159,0.023295944779982744,0.32000000000000006,0.9421915444348576,0.5908801138010062,0.15517241379310345,0.3333333333333333,0.21176470588235294,0.9213780918727915,0.29165072141463527,0.0290321580436123,1083,49,18,9,pre_onset_currently_healthy,5,all_sessions,no_graph,S3_MEDIUM_SOC_WHOLETESTING,ExtraTrees,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3259,2786,1159,0.1886732920029317,0.025402898187305123,21,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
1159,0.023295944779982744,0.22000000000000003,0.9197584124245038,0.5674071398470892,0.11627906976744186,0.37037037037037035,0.17699115044247787,0.9206582907996336,0.3111268118348278,0.02566403793930522,1056,76,17,10,pre_onset_currently_healthy,5,all_sessions,no_graph,S3_MEDIUM_SOC_WHOLETESTING,RandomForest,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3259,2786,1159,0.2981930829992052,0.02536094305703153,21,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
1159,0.023295944779982744,0.14,0.9318377911993098,0.5749987235247427,0.12857142857142856,0.3333333333333333,0.18556701030927836,0.8751308729223924,0.3102033076618399,0.027174530158441013,1071,61,18,9,pre_onset_currently_healthy,5,all_sessions,no_graph,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3259,2786,1159,0.3418148749988177,0.006463977568915453,21,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
2786,0.04558506819813352,0.16000000000000003,0.9547738693467337,0.7821541073702554,0.5027932960893855,0.7086614173228346,0.5882352941176471,0.9663392489628153,0.5902359658870465,0.03218933984053144,2570,89,37,90,pre_onset_currently_healthy,5,all_sessions,no_graph,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3259,1159,2786,0.012544625002192333,0.0007523033021100478,21,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
2786,0.04558506819813352,0.2,0.951543431442929,0.5973242743518121,0.41304347826086957,0.14960629921259844,0.21965317919075145,0.9657440337821632,0.4705204472452371,0.03483359098248026,2632,27,108,19,pre_onset_currently_healthy,5,all_sessions,no_graph,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3259,1159,2786,0.18408637499669567,0.01450765721568198,21,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
2786,0.04558506819813352,0.18000000000000002,0.9522613065326633,0.6811300864431794,0.4666666666666667,0.33070866141732286,0.3870967741935484,0.9650422128975135,0.46456485093607847,0.03452714504286119,2611,48,85,42,pre_onset_currently_healthy,5,all_sessions,no_graph,S4_SAFETY_RICH_NAVEEN12,RandomForest,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3259,1159,2786,0.3026165410046815,0.010533994613949922,21,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
2786,0.04558506819813352,0.30000000000000004,0.9565685570710696,0.6176492938944068,0.5833333333333334,0.16535433070866143,0.25766871165644173,0.9347691542318024,0.472151544005144,0.03710322035216945,2644,15,106,21,pre_onset_currently_healthy,5,all_sessions,no_graph,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3259,1159,2786,0.3113761659988086,0.003353508613404951,21,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
724,0.0,0.22000000000000003,1.0,0.5,0.0,0.0,0.0,,,1.2262440764919771e-11,724,0,0,0,pre_onset_currently_healthy,5,all_sessions,no_graph,S5_REAL_TMS_JULY10,LogisticRegression,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3694,2786,724,0.0167696669959696,0.0025222721003614708,24,command_mismatch_share_10s|command_mismatch_share_30s
724,0.0,0.22000000000000003,1.0,0.5,0.0,0.0,0.0,,,2.4021907096362563e-08,724,0,0,0,pre_onset_currently_healthy,5,all_sessions,no_graph,S5_REAL_TMS_JULY10,ExtraTrees,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3694,2786,724,0.18476550000195857,0.040036200275432414,24,command_mismatch_share_10s|command_mismatch_share_30s
724,0.0,0.38000000000000006,1.0,0.5,0.0,0.0,0.0,,,3.0862269681041434e-07,724,0,0,0,pre_onset_currently_healthy,5,all_sessions,no_graph,S5_REAL_TMS_JULY10,RandomForest,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3694,2786,724,0.3182110420020763,0.04065509945083762,24,command_mismatch_share_10s|command_mismatch_share_30s
724,0.0,0.24000000000000005,1.0,0.5,0.0,0.0,0.0,,,2.5528745038498794e-05,724,0,0,0,pre_onset_currently_healthy,5,all_sessions,no_graph,S5_REAL_TMS_JULY10,HistGradientBoosting,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3694,2786,724,0.4023999589990126,0.007280962709247428,24,command_mismatch_share_10s|command_mismatch_share_30s
2148,0.04888268156424581,0.14,0.9613594040968343,0.7792156809324547,0.6195652173913043,0.5428571428571428,0.5786802030456852,0.9825606600936997,0.6447854291539157,0.03530005969459212,2008,35,48,57,pre_onset_currently_healthy,5,all_sessions,euclidean_only,S1_LOW_SOC_STRESS,LogisticRegression,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3897,1159,2148,0.017169666003610473,0.0010000190873371499,27,command_mismatch_share_10s|command_mismatch_share_30s
2148,0.04888268156424581,0.32000000000000006,0.9511173184357542,0.4874731567644954,0.0,0.0,0.0,0.983735403118663,0.6585108941150778,0.04307354395883306,2043,0,105,0,pre_onset_currently_healthy,5,all_sessions,euclidean_only,S1_LOW_SOC_STRESS,ExtraTrees,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3897,1159,2148,0.1924524579953868,0.01279389758070682,27,command_mismatch_share_10s|command_mismatch_share_30s
2148,0.04888268156424581,0.4000000000000001,0.9548417132216015,0.5738644381860463,0.8333333333333334,0.09523809523809523,0.17094017094017094,0.9852784187585949,0.709072540242675,0.03060516026471583,2041,2,95,10,pre_onset_currently_healthy,5,all_sessions,euclidean_only,S1_LOW_SOC_STRESS,RandomForest,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3897,1159,2148,0.3201484159944812,0.012873525606639366,27,command_mismatch_share_10s|command_mismatch_share_30s
2148,0.04888268156424581,0.26,0.9655493482309124,0.7962519547773477,0.6823529411764706,0.5523809523809524,0.6105263157894737,0.9850663123790877,0.7232149550466123,0.02732496584977365,2016,27,47,58,pre_onset_currently_healthy,5,all_sessions,euclidean_only,S1_LOW_SOC_STRESS,HistGradientBoosting,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3897,1159,2148,0.7998830840006121,0.003938818900344947,27,command_mismatch_share_10s|command_mismatch_share_30s
387,0.0,0.24000000000000005,1.0,0.5,0.0,0.0,0.0,,,2.1864045814413547e-09,387,0,0,0,pre_onset_currently_healthy,5,all_sessions,euclidean_only,S2_HIGH_SOC_CONTROL,LogisticRegression,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,4031,2786,387,0.019349207999766804,0.004892550388234366,27,command_mismatch_share_10s|command_mismatch_share_30s
387,0.0,0.26,1.0,0.5,0.0,0.0,0.0,,,2.0914213635239572e-07,387,0,0,0,pre_onset_currently_healthy,5,all_sessions,euclidean_only,S2_HIGH_SOC_CONTROL,ExtraTrees,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,4031,2786,387,0.1931909579943749,0.07504360465370769,27,command_mismatch_share_10s|command_mismatch_share_30s
