n,positive_rate,threshold,accuracy,macro_f1,precision,recall,f1_positive,roc_auc,pr_auc,brier,tn,fp,fn,tp,test_session,model,horizon_s,calibration_source,calibration_method,fit_anchor_rows,fit_person_period_rows,calibration_anchor_rows,test_anchor_rows,n_used_features,removed_all_missing_features
2148,0.04888268156424581,0.28,0.9441340782122905,0.48563218390804597,0.0,0.0,0.0,0.2352329673915577,0.02975838312894602,0.049886802607854,2028,15,105,0,S1_LOW_SOC_STRESS,TelemetryHazard,5,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,4353,63374,1253,2148,24,command_mismatch_share_10s|command_mismatch_share_30s
1732,0.11085450346420324,0.14,0.8493071593533488,0.45925694661255073,0.0,0.0,0.0,0.23633658008658012,0.06839651002615918,0.11229952934578816,1471,69,192,0,S1_LOW_SOC_STRESS,TelemetryHazard,10,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,4353,63374,1253,1732,24,command_mismatch_share_10s|command_mismatch_share_30s
1189,0.2926829268292683,0.1,0.7073170731707317,0.4142857142857143,0.0,0.0,0.0,0.330823663673514,0.21913174240600253,0.2878477200869872,841,0,348,0,S1_LOW_SOC_STRESS,TelemetryHazard,20,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,4353,63374,1253,1189,24,command_mismatch_share_10s|command_mismatch_share_30s
2148,0.04888268156424581,0.1,0.9418063314711359,0.6060826126185603,0.3333333333333333,0.19047619047619047,0.24242424242424243,0.8970398340442393,0.2815117408752916,0.0461110871437912,2003,40,85,20,S1_LOW_SOC_STRESS,UngatedGraphHazard,5,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,4353,63374,1253,2148,44,command_mismatch_share_10s|command_mismatch_share_30s
1732,0.11085450346420324,0.1,0.8954965357967667,0.6495036464849406,0.5617977528089888,0.2604166666666667,0.35587188612099646,0.8996888528138528,0.497365120151412,0.10468268830511505,1501,39,142,50,S1_LOW_SOC_STRESS,UngatedGraphHazard,10,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,4353,63374,1253,1732,44,command_mismatch_share_10s|command_mismatch_share_30s
1189,0.2926829268292683,0.1,0.7073170731707317,0.4142857142857143,0.0,0.0,0.0,0.8050606830948378,0.6299371444892032,0.2786549294231465,841,0,348,0,S1_LOW_SOC_STRESS,UngatedGraphHazard,20,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,4353,63374,1253,1189,44,command_mismatch_share_10s|command_mismatch_share_30s
2148,0.04888268156424581,0.1,0.9511173184357542,0.6096728582974371,0.5,0.1619047619047619,0.2446043165467626,0.9417103699042026,0.39548483252354893,0.046348515388861894,2026,17,88,17,S1_LOW_SOC_STRESS,ProvenanceConditionedHazard,5,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,4353,63374,1253,2148,64,command_mismatch_share_10s|command_mismatch_share_30s
1732,0.11085450346420324,0.1,0.9047344110854504,0.6507616446391583,0.7142857142857143,0.234375,0.35294117647058826,0.9507474296536798,0.6435052126527472,0.10545898851815742,1522,18,147,45,S1_LOW_SOC_STRESS,ProvenanceConditionedHazard,10,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,4353,63374,1253,1732,64,command_mismatch_share_10s|command_mismatch_share_30s
1189,0.2926829268292683,0.1,0.7073170731707317,0.4142857142857143,0.0,0.0,0.0,0.8183129006245986,0.6719028561583357,0.27936124134213236,841,0,348,0,S1_LOW_SOC_STRESS,ProvenanceConditionedHazard,20,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,4353,63374,1253,1189,64,command_mismatch_share_10s|command_mismatch_share_30s
387,0.0,0.1,1.0,1.0,0.0,0.0,0.0,,,0.003989445447197955,387,0,0,0,S2_HIGH_SOC_CONTROL,TelemetryHazard,5,session:S1_LOW_SOC_STRESS,platt_sigmoid,5104,78311,2516,387,24,command_mismatch_share_10s|command_mismatch_share_30s
248,0.0,0.1,0.5120967741935484,0.33866666666666667,0.0,0.0,0.0,,,0.01781851303621161,127,121,0,0,S2_HIGH_SOC_CONTROL,TelemetryHazard,10,session:S1_LOW_SOC_STRESS,platt_sigmoid,5104,78311,2516,248,24,command_mismatch_share_10s|command_mismatch_share_30s
93,0.0,0.26,0.5053763440860215,0.3357142857142857,0.0,0.0,0.0,,,0.07627777883734368,47,46,0,0,S2_HIGH_SOC_CONTROL,TelemetryHazard,20,session:S1_LOW_SOC_STRESS,platt_sigmoid,5104,78311,2516,93,24,command_mismatch_share_10s|command_mismatch_share_30s
387,0.0,0.12000000000000001,1.0,1.0,0.0,0.0,0.0,,,0.00039980443356936663,387,0,0,0,S2_HIGH_SOC_CONTROL,UngatedGraphHazard,5,session:S1_LOW_SOC_STRESS,platt_sigmoid,5104,78311,2516,387,44,command_mismatch_share_10s|command_mismatch_share_30s
248,0.0,0.18000000000000002,1.0,1.0,0.0,0.0,0.0,,,0.002163385916140956,248,0,0,0,S2_HIGH_SOC_CONTROL,UngatedGraphHazard,10,session:S1_LOW_SOC_STRESS,platt_sigmoid,5104,78311,2516,248,44,command_mismatch_share_10s|command_mismatch_share_30s
93,0.0,0.30000000000000004,1.0,1.0,0.0,0.0,0.0,,,0.02903196083692915,93,0,0,0,S2_HIGH_SOC_CONTROL,UngatedGraphHazard,20,session:S1_LOW_SOC_STRESS,platt_sigmoid,5104,78311,2516,93,44,command_mismatch_share_10s|command_mismatch_share_30s
