model,transformed_feature,coefficient,abs_coefficient,test_session
TelemetryHazard,num__current_ma,-2.3535010567886756,2.3535010567886756,S1_LOW_SOC_STRESS
TelemetryHazard,num__power_w,2.0267752914625246,2.0267752914625246,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_4,-1.680204157349177,1.680204157349177,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_3,-1.6379770367296458,1.6379770367296458,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_17,1.5734339309269367,1.5734339309269367,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_18,1.5668815562730056,1.5668815562730056,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_20,1.5658589649871288,1.5658589649871288,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_19,1.5518108199043126,1.5518108199043126,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_5,-1.5101488495158089,1.5101488495158089,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_16,1.484088901502238,1.484088901502238,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_15,1.4643433320082506,1.4643433320082506,S1_LOW_SOC_STRESS
TelemetryHazard,num__stop_share_10s,-1.4530635609600409,1.4530635609600409,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_14,1.4529608623207833,1.4529608623207833,S1_LOW_SOC_STRESS
TelemetryHazard,num__soc,-1.4521331747196058,1.4521331747196058,S1_LOW_SOC_STRESS
TelemetryHazard,num__speed_mean_10s,-1.3739814647291166,1.3739814647291166,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_6,-1.3714189320980041,1.3714189320980041,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_7,-1.2212910566453592,1.2212910566453592,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_8,-1.080794438408788,1.080794438408788,S1_LOW_SOC_STRESS
TelemetryHazard,num__wheel_mean,-0.9916223139749091,0.9916223139749091,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_13,0.9638494178252531,0.9638494178252531,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_9,-0.9513714390453241,0.9513714390453241,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_2,-0.8955881820540924,0.8955881820540924,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_1,-0.8440294450737386,0.8440294450737386,S1_LOW_SOC_STRESS
TelemetryHazard,num__speed_std_10s,-0.7994083785147047,0.7994083785147047,S1_LOW_SOC_STRESS
TelemetryHazard,num__position_confidence,0.7980399008849484,0.7980399008849484,S1_LOW_SOC_STRESS
TelemetryHazard,num__stop_share_30s,0.7879838225823086,0.7879838225823086,S1_LOW_SOC_STRESS
TelemetryHazard,cat__hazard_bin_10,-0.7846432050427169,0.7846432050427169,S1_LOW_SOC_STRESS
TelemetryHazard,num__short_causal_hold,-0.7573246341180602,0.7573246341180602,S1_LOW_SOC_STRESS
TelemetryHazard,num__observed_sample,0.7573246341180586,0.7573246341180586,S1_LOW_SOC_STRESS
