n,positive_rate,threshold,accuracy,macro_f1,precision,recall,f1_positive,roc_auc,pr_auc,brier,tn,fp,fn,tp,horizon_s,variant,feature_set,test_session,model,calibration_source,calibration_method,fit_rows,calibration_rows,test_rows,fit_s,infer_ms_row,n_used_features,removed_all_missing_features
4051,0.35472722784497657,0.4000000000000001,0.9158232535176499,0.9045167520139292,0.9491803278688524,0.8058455114822547,0.8716597666541211,0.9795957104803161,0.9532003989606825,0.0703395200059983,2552,62,279,1158,0,all_sessions,full_graph,S1_LOW_SOC_STRESS,LogisticRegression,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,5067,1489,4051,0.02491691699833609,0.0007513781781134779,43,command_mismatch_share_10s|command_mismatch_share_30s
4051,0.35472722784497657,0.42000000000000004,0.8521352752406813,0.819801061121221,0.9665924276169265,0.6040361864996521,0.7434689507494646,0.9864606777168492,0.9606380706709117,0.1223880024204848,2584,30,569,868,0,all_sessions,full_graph,S1_LOW_SOC_STRESS,ExtraTrees,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,5067,1489,4051,0.2923135830060346,0.0073456144173818325,43,command_mismatch_share_10s|command_mismatch_share_30s
4051,0.35472722784497657,0.4600000000000001,0.9414959269316219,0.934733179766264,0.9580152671755725,0.8733472512178149,0.9137240626137605,0.9865344201422775,0.9594838922945509,0.058550730460253594,2559,55,182,1255,0,all_sessions,full_graph,S1_LOW_SOC_STRESS,RandomForest,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,5067,1489,4051,0.43926133299828507,0.0076443367061422235,43,command_mismatch_share_10s|command_mismatch_share_30s
4051,0.35472722784497657,0.54,0.9590224635892373,0.9551879814286941,0.9447165850244926,0.9394572025052192,0.942079553384508,0.9877483748713501,0.9701134514679688,0.03656934265352309,2535,79,87,1350,0,all_sessions,full_graph,S1_LOW_SOC_STRESS,HistGradientBoosting,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,5067,1489,4051,1.1782082080026157,0.007810273265960493,43,command_mismatch_share_10s|command_mismatch_share_30s
529,0.0,0.42000000000000004,0.9659735349716446,0.4913461538461538,0.0,0.0,0.0,,,0.024943676356430078,511,18,0,0,0,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,LogisticRegression,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,6414,3664,529,0.021169624997128267,0.003515438559387647,43,command_mismatch_share_10s|command_mismatch_share_30s
529,0.0,0.4600000000000001,1.0,0.5,0.0,0.0,0.0,,,6.278475447738715e-06,529,0,0,0,0,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,ExtraTrees,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,6414,3664,529,0.2769111250017886,0.05509861436461685,43,command_mismatch_share_10s|command_mismatch_share_30s
529,0.0,0.3400000000000001,1.0,0.5,0.0,0.0,0.0,,,3.5154821098307134e-06,529,0,0,0,0,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,RandomForest,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,6414,3664,529,0.5550644159957301,0.05427300001066337,43,command_mismatch_share_10s|command_mismatch_share_30s
529,0.0,0.28,1.0,0.5,0.0,0.0,0.0,,,0.00011703024841507108,529,0,0,0,0,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,HistGradientBoosting,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,6414,3664,529,0.5486751249991357,0.013666272215987072,43,command_mismatch_share_10s|command_mismatch_share_30s
1489,0.14036265950302215,0.32000000000000006,0.8415043653458697,0.7145544696004782,0.4529616724738676,0.6220095693779905,0.5241935483870968,0.9134756279904306,0.7246468414085692,0.08254633522881584,1123,157,79,130,0,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,LogisticRegression,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,5454,3664,1489,0.018869874998927116,0.001561534588478188,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
1489,0.14036265950302215,0.3400000000000001,0.857622565480188,0.7410689677800381,0.49466192170818507,0.6650717703349283,0.5673469387755102,0.9111916866028709,0.6931099222255382,0.08143720859113993,1138,142,70,139,0,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,ExtraTrees,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,5454,3664,1489,0.2325559999953839,0.021044073206240584,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
