alert_episodes,false_alert_episodes,false_alerts_per_hour,events,warned_events,event_recall,median_lead_s,pct_events_lead_ge_2s,pct_events_lead_ge_5s,horizon_s,variant,feature_set,test_session,model,threshold
37,30,26.66008392989385,25,10,0.4,1.0,0.0,0.0,0,all_sessions,full_graph,S1_LOW_SOC_STRESS,LogisticRegression,0.4000000000000001
33,30,26.66008392989385,25,3,0.12,1.0,0.0,0.0,0,all_sessions,full_graph,S1_LOW_SOC_STRESS,ExtraTrees,0.42000000000000004
40,32,28.437422858553443,25,9,0.36,0.0,0.0,0.0,0,all_sessions,full_graph,S1_LOW_SOC_STRESS,RandomForest,0.4600000000000001
42,32,28.437422858553443,25,12,0.48,0.5,0.0,0.0,0,all_sessions,full_graph,S1_LOW_SOC_STRESS,HistGradientBoosting,0.54
2,2,13.610586011342155,0,0,,,,,0,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,LogisticRegression,0.42000000000000004
0,0,0.0,0,0,,,,,0,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,ExtraTrees,0.4600000000000001
0,0,0.0,0,0,,,,,0,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,RandomForest,0.3400000000000001
0,0,0.0,0,0,,,,,0,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.28
12,11,26.595030221625255,10,3,0.3,1.0,0.0,0.0,0,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,LogisticRegression,0.32000000000000006
14,12,29.012760241773,10,4,0.4,0.5,0.0,0.0,0,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,ExtraTrees,0.3400000000000001
17,16,38.683680322364005,10,3,0.3,1.0,0.0,0.0,0,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,RandomForest,0.3400000000000001
4,4,9.670920080591001,10,2,0.2,1.0,0.0,0.0,0,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,0.32000000000000006
8,8,7.860262008733625,32,2,0.0625,1.0,0.0,0.0,0,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,0.7000000000000002
18,7,6.8777292576419224,32,14,0.4375,0.5,0.0,0.0,0,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,0.5000000000000001
12,12,11.790393013100438,32,3,0.09375,1.0,0.0,0.0,0,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,RandomForest,0.4800000000000001
14,10,9.825327510917031,32,7,0.21875,0.0,0.0,0.0,0,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,0.4600000000000001
13,13,53.54691075514874,0,0,,,,,0,all_sessions,full_graph,S5_REAL_TMS_JULY10,LogisticRegression,0.3400000000000001
0,0,0.0,0,0,,,,,0,all_sessions,full_graph,S5_REAL_TMS_JULY10,ExtraTrees,0.4600000000000001
0,0,0.0,0,0,,,,,0,all_sessions,full_graph,S5_REAL_TMS_JULY10,RandomForest,0.42000000000000004
