horizon_s,variant,feature_set,model,folds,positive_test_folds,pr_auc_evaluable_folds,test_rows,macro_f1_mean,pr_auc_mean,f1_positive_mean,recall_mean,brier_mean,macro_f1_sd,pr_auc_sd,f1_positive_sd,recall_sd,brier_sd
0,all_sessions,engineering_baseline,AlwaysNegative,5,3,3,10607,0.462022348501002,0.21934218952356874,0.0,0.0,0.13160531371414125,0.04416068058203339,0.117788913167229,0.0,0.0,0.14618622665646872
0,all_sessions,full_graph,ExtraTrees,5,3,3,10607,0.676238644806552,0.8225240361849157,0.40058071841977094,0.3754296315679211,0.05423439752244737,0.1640835272382603,0.1339760949405884,0.37124434604177625,0.34356804967851146,0.05330445532431335
0,all_sessions,full_graph,HistGradientBoosting,5,3,3,10607,0.705847286621898,0.8369374381217648,0.44107310456776394,0.4142801624200487,0.035814045039542504,0.20010098102415513,0.11865246378659687,0.42216631431023977,0.40882844794818407,0.03539807167338955
0,all_sessions,full_graph,LogisticRegression,5,3,3,10607,0.6518408238741108,0.8207486619013373,0.3617903103634073,0.3405123897063874,0.05766166275362006,0.17617880338182812,0.11853341087317798,0.371065571980617,0.36469278790583076,0.02379440188510426
0,all_sessions,full_graph,RandomForest,5,3,3,10607,0.6942947402492013,0.8292900697864433,0.4268513026255178,0.42842627263302224,0.04042555706121352,0.1905427965822884,0.11813194124502788,0.40927845677344726,0.41145565688211605,0.037244759958983305
5,all_sessions,engineering_baseline,AlwaysNegative,5,3,3,7204,0.49398369163149153,0.03925456484745402,0.0,0.0,0.023552738908472415,0.006055348446734581,0.01391857497452643,0.0,0.0,0.0236461333640333
5,all_sessions,engineering_baseline,PersistenceH0,5,3,3,7204,0.49398369163149153,0.03925456484745402,0.0,0.0,0.023552738908472415,0.006055348446734581,0.01391857497452643,0.0,0.0,0.0236461333640333
5,all_sessions,engineering_baseline,RuleEuclidean,5,3,3,7204,0.5852512576124766,0.1704473610123053,0.203572033990394,0.39110777819439235,0.061471281197394756,0.08804837341932076,0.04512688966817983,0.1951142693630697,0.40562894448976394,0.052204184364153576
5,all_sessions,engineering_baseline,RuleGraph,5,3,3,7204,0.6012709434356116,0.20638672751493717,0.23165178642969586,0.43122609673790774,0.05455637538058011,0.09825545027342021,0.04925458549192009,0.21616844514517297,0.4311730699250542,0.040129004745207426
5,all_sessions,euclidean_only,ExtraTrees,5,3,3,7204,0.5813035070141837,0.5368732213444473,0.17441351266812638,0.18034412365121025,0.019621886794613765,0.14014049864078,0.25139800362908604,0.2844993920418333,0.3102807458498311,0.019191546071703234
