n,positive_rate,threshold,accuracy,macro_f1,precision,recall,f1_positive,roc_auc,pr_auc,brier,tn,fp,fn,tp,horizon_s,feature_set,model,test_session,calibration_source,calibration_method,n_used_features,removed_all_missing_features,removed_motion_features
2148,0.04888268156424581,0.38000000000000006,0.9511173184357542,0.4874731567644954,0.0,0.0,0.0,0.9842714961657693,0.6260732560507069,0.04289169850974297,2043,0,105,0,5,euclidean_no_soc_motion_reduced,RandomForest,S1_LOW_SOC_STRESS,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,16,command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
387,0.0,0.4800000000000001,1.0,0.5,0.0,0.0,0.0,,,9.993823047387005e-09,387,0,0,0,5,euclidean_no_soc_motion_reduced,RandomForest,S2_HIGH_SOC_CONTROL,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,16,command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
1159,0.023295944779982744,0.32000000000000006,0.9465056082830026,0.6080871765783847,0.18181818181818182,0.37037037037037035,0.24390243902439024,0.9049698992278499,0.3520345862623643,0.025714036223663,1087,45,17,10,5,euclidean_no_soc_motion_reduced,RandomForest,S3_MEDIUM_SOC_WHOLETESTING,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,13,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
2786,0.04558506819813352,0.22000000000000003,0.9644651830581479,0.7316386626982081,0.71875,0.36220472440944884,0.4816753926701571,0.9589671684044383,0.6361601912705943,0.03243225981229395,2641,18,81,46,5,euclidean_no_soc_motion_reduced,RandomForest,S4_SAFETY_RICH_NAVEEN12,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,13,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
724,0.0,0.44000000000000006,1.0,0.5,0.0,0.0,0.0,,,8.540090226513779e-07,724,0,0,0,5,euclidean_no_soc_motion_reduced,RandomForest,S5_REAL_TMS_JULY10,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,16,command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
2148,0.04888268156424581,0.18000000000000002,0.9506517690875232,0.4873508353221957,0.0,0.0,0.0,0.9870591800107219,0.7486940000977422,0.03947101667861847,2042,1,105,0,5,full_graph_no_soc_motion_reduced,RandomForest,S1_LOW_SOC_STRESS,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,32,command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
387,0.0,0.28,1.0,0.5,0.0,0.0,0.0,,,2.2056300989979e-08,387,0,0,0,5,full_graph_no_soc_motion_reduced,RandomForest,S2_HIGH_SOC_CONTROL,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,32,command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
1159,0.023295944779982744,0.4800000000000001,0.9689387402933564,0.6459026410482721,0.32,0.2962962962962963,0.3076923076923077,0.9261549535401126,0.2571901422289429,0.025564559505658023,1115,17,19,8,5,full_graph_no_soc_motion_reduced,RandomForest,S3_MEDIUM_SOC_WHOLETESTING,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,29,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
2786,0.04558506819813352,0.24000000000000005,0.9770279971284996,0.8401881489129811,0.8888888888888888,0.5669291338582677,0.6923076923076923,0.9727148623157721,0.7739291056250569,0.02893745363165792,2650,9,55,72,5,full_graph_no_soc_motion_reduced,RandomForest,S4_SAFETY_RICH_NAVEEN12,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,29,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
724,0.0,0.28,1.0,0.5,0.0,0.0,0.0,,,3.8191054626932703e-10,724,0,0,0,5,full_graph_no_soc_motion_reduced,RandomForest,S5_REAL_TMS_JULY10,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,32,command_mismatch_share_10s|command_mismatch_share_30s,speed_mean_10s|speed_mean_30s|speed_mean_5s|speed_mps|speed_std_10s|stop_share_10s|stop_share_30s|stop_share_5s
