n,positive_rate,threshold,accuracy,macro_f1,precision,recall,f1_positive,roc_auc,pr_auc,brier,tn,fp,fn,tp,task,horizon_s,variant,feature_set,test_session,model,sequence_length_s,calibration_source,calibration_method,fit_rows,calibration_rows,test_rows,fit_s,infer_ms_row,final_training_loss,n_used_features,removed_all_missing_features,device
2148,0.04888268156424581,0.24000000000000005,0.9618249534450651,0.792855261177179,0.6116504854368932,0.6,0.6057692307692307,0.9534671235111765,0.5891631222600039,0.030559480641915417,2003,40,42,63,strict_pre_onset_temporal_sequence,5,all_sessions,full_graph_no_soc,S1_LOW_SOC_STRESS,TemporalGRU10s,10,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3897,1159,2148,2.231344291998539,0.003194755119906983,0.05987502275696056,42,command_mismatch_share_10s|command_mismatch_share_30s,cpu
387,0.0,0.12000000000000001,1.0,0.5,0.0,0.0,0.0,,,0.0001668020754983045,387,0,0,0,strict_pre_onset_temporal_sequence,5,all_sessions,full_graph_no_soc,S2_HIGH_SOC_CONTROL,TemporalGRU10s,10,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,4031,2786,387,1.7113780830040923,0.003641258383883303,0.08149753439237153,42,command_mismatch_share_10s|command_mismatch_share_30s,cpu
1159,0.023295944779982744,0.36000000000000004,0.9672131147540983,0.5785938456827924,0.21052631578947367,0.14814814814814814,0.17391304347826086,0.9488286873445885,0.2147319604080205,0.02166165577465046,1117,15,23,4,strict_pre_onset_temporal_sequence,5,all_sessions,full_graph_no_soc,S3_MEDIUM_SOC_WHOLETESTING,TemporalGRU10s,10,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3259,2786,1159,1.3838241249977727,0.0032003166476856013,0.023292026785152315,39,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s,cpu
2786,0.04558506819813352,0.1,0.9346733668341709,0.6689785739466503,0.3312883435582822,0.4251968503937008,0.3724137931034483,0.7585913832978474,0.4094804504744079,0.0353078510746433,2550,109,73,54,strict_pre_onset_temporal_sequence,5,all_sessions,full_graph_no_soc,S4_SAFETY_RICH_NAVEEN12,TemporalGRU10s,10,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3259,1159,2786,1.378574040994863,0.0029411342406841976,0.023292026785152315,39,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s,cpu
724,0.0,0.24000000000000005,1.0,0.5,0.0,0.0,0.0,,,9.59070924363271e-05,724,0,0,0,strict_pre_onset_temporal_sequence,5,all_sessions,full_graph_no_soc,S5_REAL_TMS_JULY10,TemporalGRU10s,10,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3694,2786,724,1.567418999999063,0.0034441767920172666,0.0689179440874568,42,command_mismatch_share_10s|command_mismatch_share_30s,cpu
1732,0.11085450346420324,0.38000000000000006,0.937066974595843,0.8198957274986525,0.7902097902097902,0.5885416666666666,0.6746268656716418,0.9294237012987013,0.6791283136839099,0.05847527924089589,1510,30,79,113,strict_pre_onset_temporal_sequence,10,all_sessions,full_graph_no_soc,S1_LOW_SOC_STRESS,TemporalGRU10s,10,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3374,1045,1732,1.4476142919957056,0.003161254039748871,0.0284976156756379,42,command_mismatch_share_10s|command_mismatch_share_30s,cpu
248,0.0,0.14,1.0,0.5,0.0,0.0,0.0,,,0.0008642175879647111,248,0,0,0,strict_pre_onset_temporal_sequence,10,all_sessions,full_graph_no_soc,S2_HIGH_SOC_CONTROL,TemporalGRU10s,10,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3356,2547,248,1.4437713329971302,0.004136427437075444,0.0543499230568134,42,command_mismatch_share_10s|command_mismatch_share_30s,cpu
1045,0.031578947368421054,0.3400000000000001,0.8832535885167464,0.6008253387771461,0.16541353383458646,0.6666666666666666,0.26506024096385544,0.9119655048508803,0.2368256205554744,0.053867066451470984,901,111,11,22,strict_pre_onset_temporal_sequence,10,all_sessions,full_graph_no_soc,S3_MEDIUM_SOC_WHOLETESTING,TemporalGRU10s,10,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,2559,2547,1045,1.0729349999965052,0.0032375999946374465,0.02570983177890194,39,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s,cpu
2547,0.09108755398508049,0.1,0.9301138594424814,0.7729819213158622,0.6377551020408163,0.5387931034482759,0.5841121495327103,0.9085424890146719,0.6728291081666279,0.06739848965125678,2244,71,107,125,strict_pre_onset_temporal_sequence,10,all_sessions,full_graph_no_soc,S4_SAFETY_RICH_NAVEEN12,TemporalGRU10s,10,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,2559,1045,2547,1.0759830000024522,0.002941237925172465,0.02570983177890194,39,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s,cpu
579,0.0,0.18000000000000002,0.9930915371329879,0.4982668977469671,0.0,0.0,0.0,,,0.0024885096030235775,575,4,0,0,strict_pre_onset_temporal_sequence,10,all_sessions,full_graph_no_soc,S5_REAL_TMS_JULY10,TemporalGRU10s,10,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3025,2547,579,1.2935802919964772,0.003632699477804796,0.06502377806000473,42,command_mismatch_share_10s|command_mismatch_share_30s,cpu
